vehicle_id,citizen_id,vehicle_number,vehicle_type
VH001406,CID002315,KA25AB2275,Bike
VH001407,CID002318,KA91AB2135,Truck
VH001408,CID002319,KA86AB3337,Car
VH001409,CID002321,KA74AB4886,Bike
VH001410,CID002322,KA31AB1840,Truck
VH001411,CID002323,KA46AB8965,Bike
VH001412,CID002325,KA70AB9073,Car
VH001413,CID002327,KA06AB6023,Auto
VH001414,CID002328,KA31AB5803,Car
VH001415,CID002329,KA91AB5513,Truck
VH001416,CID002330,KA57AB4449,Car
VH001417,CID002331,KA29AB4068,Truck
VH001418,CID002332,KA47AB3798,Auto
VH001419,CID002333,KA24AB8509,Bike
VH001420,CID002334,KA19AB6357,Auto
VH001421,CID002335,KA38AB2778,Bike
VH001422,CID002336,KA94AB4871,Truck
VH001423,CID002338,KA66AB9507,Auto
VH001424,CID002339,KA06AB1978,Bike
VH001425,CID002340,KA04AB3847,Car
VH001426,CID002343,KA47AB7328,Truck
VH001427,CID002345,KA11AB6245,Auto
VH001428,CID002346,KA32AB1385,Truck
VH001429,CID002348,KA70AB1882,Bike
VH001430,CID002349,KA43AB4792,Car
VH001431,CID002350,KA91AB3680,Bike
VH001432,CID002352,KA10AB9944,Truck
VH001433,CID002353,KA52AB3259,Auto
VH001434,CID002354,KA39AB3561,Truck
VH001435,CID002357,KA87AB1425,Auto
VH001436,CID002358,KA42AB9078,Truck
VH001437,CID002359,KA78AB3797,Truck
VH001438,CID002361,KA76AB5277,Car
VH001439,CID002362,KA74AB3216,Bike
VH001440,CID002364,KA14AB2958,Auto
VH001441,CID002365,KA96AB9600,Truck
VH001442,CID002366,KA31AB7362,Car
VH001443,CID002371,KA25AB7726,Car
VH001444,CID002372,KA23AB3381,Bike
VH001445,CID002374,KA05AB1948,Bike
VH001446,CID002378,KA28AB8280,Bike
VH001447,CID002379,KA62AB9127,Car
VH001448,CID002383,KA16AB9441,Bike
VH001449,CID002384,KA17AB3600,Bike
VH001450,CID002389,KA90AB4519,Auto
VH001451,CID002390,KA20AB2928,Auto
VH001452,CID002392,KA06AB1147,Car
VH001453,CID002393,KA22AB8654,Bike
VH001454,CID002395,KA08AB2968,Bike
VH001455,CID002396,KA69AB5917,Car
VH001456,CID002397,KA81AB4864,Truck
VH001457,CID002398,KA63AB5611,Bike
VH001458,CID002405,KA31AB9771,Car
VH001459,CID002406,KA34AB7132,Car
VH001460,CID002409,KA71AB4346,Car
VH001461,CID002410,KA40AB6349,Truck
VH001462,CID002412,KA44AB9777,Truck
VH001463,CID002413,KA94AB3185,Truck
VH001464,CID002414,KA11AB8378,Car
VH001465,CID002415,KA04AB7999,Auto
VH001466,CID002417,KA07AB5546,Auto
VH001467,CID002419,KA74AB9619,Bike
VH001468,CID002420,KA48AB8465,Bike
VH001469,CID002421,KA19AB6934,Car
VH001470,CID002424,KA39AB3274,Car
VH001471,CID002425,KA41AB6117,Bike
VH001472,CID002426,KA62AB1966,Bike
VH001473,CID002428,KA31AB2441,Auto
VH001474,CID002430,KA02AB6449,Bike
VH001475,CID002432,KA84AB8153,Bike
VH001476,CID002438,KA63AB8357,Bike
VH001477,CID002442,KA28AB5224,Bike
VH001478,CID002443,KA61AB5913,Car
VH001479,CID002445,KA77AB9718,Car
VH001480,CID002446,KA17AB2314,Auto
VH001481,CID002447,KA42AB9104,Truck
VH001482,CID002448,KA56AB1373,Car
VH001483,CID002452,KA48AB3013,Bike
VH001484,CID002453,KA78AB4340,Truck
VH001485,CID002454,KA86AB4037,Car
VH001486,CID002456,KA29AB9018,Car
VH001487,CID002457,KA35AB1372,Car
VH001488,CID002458,KA94AB5126,Auto
VH001489,CID002459,KA25AB5556,Truck
VH001490,CID002460,KA01AB3803,Truck
VH001491,CID002461,KA02AB5582,Car
VH001492,CID002463,KA43AB6796,Car
VH001493,CID002466,KA58AB7388,Truck
VH001494,CID002467,KA46AB7032,Auto
VH001495,CID002468,KA89AB7102,Bike
VH001496,CID002469,KA91AB3609,Truck
VH001497,CID002470,KA35AB5357,Truck
VH001498,CID002471,KA08AB2575,Truck
VH001499,CID002473,KA44AB2654,Auto
VH001500,CID002476,KA30AB6049,Truck
VH001501,CID002477,KA86AB1159,Car
VH001502,CID002478,KA59AB8457,Truck
VH001503,CID002479,KA96AB1540,Car
VH001504,CID002481,KA06AB4835,Car
VH001505,CID002482,KA81AB1645,Auto
VH001506,CID002483,KA01AB3236,Car
VH001507,CID002485,KA48AB5617,Auto
VH001508,CID002486,KA05AB3490,Car
VH001509,CID002489,KA59AB5734,Bike
VH001510,CID002492,KA98AB6204,Auto
VH001511,CID002493,KA46AB2842,Auto
VH001512,CID002494,KA16AB5666,Bike
VH001513,CID002496,KA66AB2382,Bike
VH001514,CID002497,KA08AB2399,Bike
VH001515,CID002498,KA21AB1357,Car
VH001516,CID002499,KA04AB9877,Truck
VH001517,CID002500,KA71AB7889,Auto
VH001518,CID002501,KA97AB2164,Bike
VH001519,CID002503,KA58AB6554,Bike
VH001520,CID002504,KA60AB5183,Auto
VH001521,CID002505,KA37AB4130,Bike
VH001522,CID002509,KA37AB3630,Auto
VH001523,CID002516,KA42AB1337,Truck
VH001524,CID002517,KA67AB3212,Truck
VH001525,CID002519,KA10AB7408,Auto
VH001526,CID002520,KA65AB7825,Car
VH001527,CID002521,KA96AB7333,Auto
VH001528,CID002524,KA88AB7870,Bike
VH001529,CID002525,KA97AB5078,Car
VH001530,CID002526,KA07AB6827,Truck
VH001531,CID002530,KA61AB4905,Car
VH001532,CID002532,KA54AB3458,Car
VH001533,CID002534,KA38AB7990,Truck
VH001534,CID002535,KA28AB8927,Truck
VH001535,CID002536,KA10AB2526,Auto
VH001536,CID002540,KA97AB8263,Car
VH001537,CID002542,KA33AB9938,Bike
VH001538,CID002543,KA02AB7973,Auto
VH001539,CID002545,KA99AB2991,Auto
VH001540,CID002547,KA45AB2814,Auto
VH001541,CID002549,KA02AB1852,Car
VH001542,CID002550,KA46AB2458,Car
VH001543,CID002551,KA80AB8438,Car
VH001544,CID002552,KA99AB5663,Truck
VH001545,CID002554,KA10AB4695,Auto
VH001546,CID002555,KA47AB5251,Bike
VH001547,CID002556,KA90AB7378,Truck
VH001548,CID002557,KA65AB1964,Car
VH001549,CID002558,KA94AB6124,Bike
VH001550,CID002559,KA03AB5050,Bike
VH001551,CID002560,KA46AB9161,Bike
VH001552,CID002561,KA08AB3587,Bike
VH001553,CID002562,KA99AB6606,Car
VH001554,CID002564,KA91AB5140,Truck
VH001555,CID002568,KA03AB5524,Truck
VH001556,CID002569,KA69AB8334,Bike
VH001557,CID002570,KA68AB3122,Auto
VH001558,CID002571,KA26AB5906,Bike
VH001559,CID002575,KA97AB1797,Car
VH001560,CID002576,KA29AB4761,Car
VH001561,CID002577,KA17AB7602,Bike
VH001562,CID002578,KA12AB1774,Auto
VH001563,CID002579,KA68AB8294,Car
VH001564,CID002580,KA53AB4530,Truck
VH001565,CID002581,KA01AB4325,Truck
VH001566,CID002582,KA04AB3767,Bike
VH001567,CID002583,KA51AB2789,Bike
VH001568,CID002584,KA10AB6795,Auto
VH001569,CID002586,KA14AB1237,Truck
VH001570,CID002587,KA55AB6303,Bike
VH001571,CID002588,KA64AB2642,Auto
VH001572,CID002589,KA90AB4255,Truck
VH001573,CID002590,KA14AB6882,Car
VH001574,CID002595,KA05AB5998,Auto
VH001575,CID002599,KA34AB6285,Truck
VH001576,CID002601,KA08AB1067,Bike
VH001577,CID002602,KA27AB7807,Car
VH001578,CID002603,KA37AB9651,Car
VH001579,CID002604,KA32AB7690,Truck
VH001580,CID002605,KA45AB6174,Bike
VH001581,CID002606,KA89AB5828,Car
VH001582,CID002608,KA19AB3916,Auto
VH001583,CID002609,KA37AB1813,Truck
VH001584,CID002610,KA06AB3293,Auto
VH001585,CID002611,KA62AB9320,Bike
VH001586,CID002613,KA83AB9459,Car
VH001587,CID002616,KA13AB6339,Bike
VH001588,CID002618,KA10AB6459,Bike
VH001589,CID002621,KA23AB6051,Car
VH001590,CID002623,KA02AB7657,Auto
VH001591,CID002626,KA93AB5319,Car
VH001592,CID002629,KA35AB1145,Truck
VH001593,CID002632,KA62AB7221,Car
VH001594,CID002633,KA27AB4978,Auto
VH001595,CID002634,KA07AB1861,Truck
VH001596,CID002635,KA26AB4458,Car
VH001597,CID002637,KA57AB4059,Truck
VH001598,CID002639,KA21AB5809,Truck
VH001599,CID002642,KA86AB5500,Bike
VH001600,CID002643,KA09AB1852,Auto
VH001601,CID002644,KA64AB8879,Auto
VH001602,CID002646,KA90AB4431,Truck
VH001603,CID002651,KA25AB5248,Auto
VH001604,CID002653,KA68AB4735,Truck
VH001605,CID002654,KA40AB5596,Bike
VH001606,CID002657,KA52AB7878,Car
VH001607,CID002658,KA54AB7324,Truck
VH001608,CID002663,KA48AB4629,Truck
VH001609,CID002666,KA07AB6609,Auto
VH001610,CID002667,KA13AB2445,Truck
VH001611,CID002668,KA37AB8658,Truck
VH001612,CID002670,KA30AB3464,Car
VH001613,CID002671,KA74AB3080,Truck
VH001614,CID002675,KA44AB5112,Truck
VH001615,CID002678,KA07AB7108,Bike
VH001616,CID002679,KA45AB1322,Truck
VH001617,CID002680,KA06AB1476,Bike
VH001618,CID002681,KA77AB1197,Bike
VH001619,CID002682,KA32AB8505,Bike
VH001620,CID002683,KA86AB1567,Car
VH001621,CID002684,KA87AB3760,Car
VH001622,CID002686,KA09AB7100,Bike
VH001623,CID002689,KA86AB6933,Truck
VH001624,CID002690,KA67AB3019,Car
VH001625,CID002693,KA01AB8340,Car
VH001626,CID002694,KA40AB4362,Truck
VH001627,CID002698,KA64AB7960,Truck
VH001628,CID002699,KA36AB7857,Bike
VH001629,CID002702,KA35AB9620,Car
VH001630,CID002705,KA83AB9831,Car
VH001631,CID002706,KA34AB8657,Car
VH001632,CID002711,KA52AB7819,Auto
VH001633,CID002713,KA27AB1088,Bike
VH001634,CID002717,KA75AB5028,Car
VH001635,CID002718,KA21AB9909,Bike
VH001636,CID002721,KA63AB3690,Bike
VH001637,CID002723,KA34AB9793,Bike
VH001638,CID002725,KA98AB3249,Bike
VH001639,CID002727,KA43AB7095,Bike
VH001640,CID002729,KA30AB2187,Auto
VH001641,CID002730,KA52AB6317,Truck
VH001642,CID002733,KA90AB9492,Auto
VH001643,CID002735,KA15AB1231,Auto
VH001644,CID002736,KA60AB9510,Car
VH001645,CID002737,KA87AB9101,Car
VH001646,CID002738,KA06AB9357,Truck
VH001647,CID002739,KA33AB7243,Bike
VH001648,CID002740,KA98AB4935,Car
VH001649,CID002743,KA35AB5298,Auto
VH001650,CID002744,KA72AB8994,Truck
VH001651,CID002745,KA42AB4789,Bike
VH001652,CID002746,KA16AB1263,Truck
VH001653,CID002747,KA18AB4282,Bike
VH001654,CID002749,KA18AB2222,Auto
VH001655,CID002752,KA51AB1767,Auto
VH001656,CID002754,KA52AB4046,Bike
VH001657,CID002755,KA66AB4637,Car
VH001658,CID002756,KA52AB8258,Bike
VH001659,CID002757,KA84AB9632,Bike
VH001660,CID002759,KA09AB2695,Bike
VH001661,CID002762,KA70AB4464,Car
VH001662,CID002764,KA85AB3650,Auto
VH001663,CID002767,KA23AB8235,Bike
VH001664,CID002768,KA38AB9256,Car
VH001665,CID002769,KA71AB5495,Auto
VH001666,CID002771,KA06AB9094,Truck
VH001667,CID002772,KA63AB9382,Car
VH001668,CID002773,KA16AB3741,Bike
VH001669,CID002774,KA57AB7832,Bike
VH001670,CID002776,KA13AB8756,Bike
VH001671,CID002777,KA81AB4958,Bike
VH001672,CID002778,KA44AB5300,Car
VH001673,CID002779,KA26AB1634,Truck
VH001674,CID002781,KA82AB6118,Bike
VH001675,CID002782,KA40AB6488,Auto
VH001676,CID002784,KA65AB3698,Car
VH001677,CID002785,KA19AB3928,Truck
VH001678,CID002787,KA15AB9276,Auto
VH001679,CID002789,KA22AB2802,Auto
VH001680,CID002790,KA29AB9603,Car
VH001681,CID002792,KA71AB4940,Auto
VH001682,CID002793,KA98AB9754,Car
VH001683,CID002794,KA11AB2433,Auto
VH001684,CID002795,KA35AB4266,Auto
VH001685,CID002796,KA22AB4349,Auto
VH001686,CID002797,KA53AB2981,Car
VH001687,CID002799,KA05AB7058,Truck
VH001688,CID002801,KA50AB2360,Auto
VH001689,CID002802,KA16AB2555,Car
VH001690,CID002807,KA89AB6743,Auto
VH001691,CID002809,KA49AB2958,Car
VH001692,CID002810,KA29AB7958,Auto
VH001693,CID002811,KA26AB7909,Car
VH001694,CID002814,KA63AB2998,Truck
VH001695,CID002816,KA43AB6758,Bike
VH001696,CID002817,KA41AB3773,Auto
VH001697,CID002818,KA11AB6886,Bike
VH001698,CID002821,KA36AB7852,Truck
VH001699,CID002822,KA54AB2092,Truck
VH001700,CID002823,KA28AB5549,Auto
VH001701,CID002824,KA30AB3840,Auto
VH001702,CID002825,KA51AB9749,Truck
VH001703,CID002826,KA52AB9612,Truck
VH001704,CID002827,KA60AB4380,Truck
VH001705,CID002828,KA82AB9544,Bike
VH001706,CID002829,KA02AB5895,Auto
VH001707,CID002831,KA91AB4554,Truck
VH001708,CID002832,KA16AB6855,Auto
VH001709,CID002834,KA05AB3021,Truck
VH001710,CID002836,KA32AB4700,Truck
VH001711,CID002837,KA91AB1329,Truck
VH001712,CID002838,KA50AB4416,Bike
VH001713,CID002839,KA13AB9227,Truck
VH001714,CID002840,KA91AB7281,Auto
VH001715,CID002841,KA32AB5390,Bike
VH001716,CID002842,KA64AB8617,Truck
VH001717,CID002843,KA70AB4615,Car
VH001718,CID002846,KA25AB8899,Bike
VH001719,CID002847,KA51AB1658,Auto
VH001720,CID002849,KA87AB9575,Car
VH001721,CID002850,KA19AB4651,Auto
VH001722,CID002851,KA26AB7148,Car
VH001723,CID002852,KA90AB1439,Bike
VH001724,CID002854,KA34AB3824,Truck
VH001725,CID002859,KA07AB4761,Car
VH001726,CID002862,KA85AB6821,Car
VH001727,CID002863,KA88AB4629,Bike
VH001728,CID002864,KA59AB8619,Auto
VH001729,CID002865,KA03AB3124,Bike
VH001730,CID002866,KA03AB2608,Bike
VH001731,CID002868,KA88AB1467,Truck
VH001732,CID002870,KA22AB5617,Bike
VH001733,CID002871,KA87AB5363,Car
VH001734,CID002875,KA59AB9037,Car
VH001735,CID002877,KA90AB2408,Auto
VH001736,CID002878,KA83AB4280,Truck
VH001737,CID002879,KA12AB7884,Car
VH001738,CID002880,KA36AB6176,Car
VH001739,CID002881,KA72AB7496,Truck
VH001740,CID002883,KA41AB8397,Auto
VH001741,CID002886,KA35AB4648,Car
VH001742,CID002890,KA26AB5166,Auto
VH001743,CID002891,KA46AB1205,Car
VH001744,CID002893,KA12AB5329,Bike
VH001745,CID002894,KA59AB5705,Car
VH001746,CID002896,KA95AB6422,Car
VH001747,CID002897,KA98AB6801,Truck
VH001748,CID002899,KA02AB5366,Bike
VH001749,CID002900,KA30AB8456,Car
VH001750,CID002901,KA16AB1273,Bike
VH001751,CID002906,KA66AB5520,Car
VH001752,CID002908,KA34AB7127,Bike
VH001753,CID002909,KA80AB6664,Car
VH001754,CID002912,KA90AB7603,Car
VH001755,CID002914,KA26AB2995,Bike
VH001756,CID002916,KA50AB7281,Truck
VH001757,CID002917,KA72AB3967,Auto
VH001758,CID002918,KA97AB8867,Truck
VH001759,CID002919,KA34AB6548,Auto
VH001760,CID002920,KA74AB9861,Auto
VH001761,CID002922,KA98AB8898,Truck
VH001762,CID002923,KA51AB4204,Truck
VH001763,CID002924,KA83AB1070,Auto
VH001764,CID002925,KA34AB5673,Bike
VH001765,CID002926,KA50AB4798,Truck
VH001766,CID002927,KA75AB5267,Bike
VH001767,CID002929,KA75AB2561,Car
VH001768,CID002933,KA03AB1133,Car
VH001769,CID002935,KA34AB3290,Auto
VH001770,CID002936,KA38AB6139,Auto
VH001771,CID002940,KA44AB5342,Car
VH001772,CID002941,KA55AB9407,Truck
VH001773,CID002942,KA56AB4386,Bike
VH001774,CID002944,KA02AB9681,Bike
VH001775,CID002946,KA30AB2943,Car
VH001776,CID002947,KA90AB9203,Truck
VH001777,CID002952,KA58AB4458,Auto
VH001778,CID002955,KA54AB2780,Truck
VH001779,CID002962,KA12AB3629,Truck
VH001780,CID002963,KA30AB9423,Auto
VH001781,CID002965,KA51AB3418,Bike
VH001782,CID002968,KA59AB6156,Truck
VH001783,CID002969,KA88AB9003,Auto
VH001784,CID002971,KA68AB7096,Truck
VH001785,CID002972,KA24AB5325,Auto
VH001786,CID002973,KA10AB2665,Car
VH001787,CID002975,KA25AB9056,Truck
VH001788,CID002976,KA58AB1393,Car
VH001789,CID002977,KA04AB2302,Bike
VH001790,CID002980,KA20AB6375,Bike
VH001791,CID002982,KA39AB5220,Auto
VH001792,CID002987,KA38AB9582,Truck
VH001793,CID002988,KA06AB5201,Truck
VH001794,CID002989,KA15AB5846,Truck
VH001795,CID002990,KA95AB6453,Truck
VH001796,CID002992,KA63AB6265,Bike
VH001797,CID002994,KA92AB4839,Auto
VH001798,CID002995,KA24AB9333,Truck
VH001799,CID002997,KA29AB5540,Car
VH001800,CID002998,KA37AB8460,Truck
VH001801,CID002999,KA14AB3219,Auto
VH001802,CID003000,KA23AB6120,Car
VH001803,CID003002,KA14AB1699,Bike
VH001804,CID003003,KA21AB1182,Auto
VH001805,CID003005,KA12AB5653,Truck
VH001806,CID003006,KA49AB7566,Truck
VH001807,CID003007,KA16AB1386,Bike
VH001808,CID003008,KA23AB1163,Bike
VH001809,CID003009,KA81AB3917,Car
VH001810,CID003011,KA76AB3942,Truck
VH001811,CID003013,KA76AB4968,Car
VH001812,CID003014,KA18AB2950,Auto
VH001813,CID003017,KA70AB7199,Auto
VH001814,CID003018,KA51AB4483,Auto
VH001815,CID003019,KA71AB7908,Truck
VH001816,CID003020,KA83AB6722,Bike
VH001817,CID003024,KA38AB2421,Auto
VH001818,CID003026,KA90AB8352,Truck
VH001819,CID003027,KA22AB4060,Bike
VH001820,CID003029,KA16AB7100,Car
VH001821,CID003031,KA22AB3439,Auto
VH001822,CID003032,KA48AB1212,Car
VH001823,CID003036,KA54AB2097,Car
VH001824,CID003038,KA15AB4985,Auto
VH001825,CID003040,KA77AB2019,Truck
VH001826,CID003041,KA28AB8111,Auto
VH001827,CID003042,KA79AB1643,Auto
VH001828,CID003044,KA24AB1425,Bike
VH001829,CID003046,KA21AB9697,Auto
VH001830,CID003048,KA07AB3663,Car
VH001831,CID003050,KA47AB1156,Truck
VH001832,CID003051,KA83AB9660,Bike
VH001833,CID003053,KA82AB2412,Truck
VH001834,CID003054,KA17AB2928,Auto
VH001835,CID003055,KA44AB2742,Car
VH001836,CID003056,KA53AB3977,Car
VH001837,CID003057,KA86AB2835,Auto
VH001838,CID003058,KA95AB7191,Truck
VH001839,CID003063,KA40AB3104,Bike
VH001840,CID003064,KA28AB4737,Car
VH001841,CID003065,KA91AB8060,Car
VH001842,CID003070,KA78AB9282,Car
VH001843,CID003071,KA77AB2065,Truck
VH001844,CID003072,KA55AB9406,Car
VH001845,CID003073,KA20AB8395,Auto
VH001846,CID003074,KA85AB7060,Car
VH001847,CID003075,KA15AB7133,Bike
VH001848,CID003076,KA14AB3420,Bike
VH001849,CID003077,KA59AB8739,Bike
VH001850,CID003081,KA16AB8841,Truck
VH001851,CID003082,KA84AB6042,Auto
VH001852,CID003083,KA03AB1098,Auto
VH001853,CID003090,KA66AB3402,Auto
VH001854,CID003091,KA38AB7388,Auto
VH001855,CID003092,KA05AB5891,Truck
VH001856,CID003093,KA26AB5270,Bike
VH001857,CID003095,KA45AB2981,Bike
VH001858,CID003096,KA11AB4129,Car
VH001859,CID003100,KA37AB8049,Auto
VH001860,CID003101,KA02AB6549,Truck
VH001861,CID003103,KA57AB7229,Auto
VH001862,CID003105,KA90AB3683,Car
VH001863,CID003106,KA02AB9028,Car
VH001864,CID003107,KA91AB8940,Auto
VH001865,CID003108,KA15AB9367,Car
VH001866,CID003109,KA16AB7516,Bike
VH001867,CID003112,KA93AB8809,Auto
VH001868,CID003113,KA45AB9089,Auto
VH001869,CID003114,KA85AB6506,Bike
VH001870,CID003117,KA13AB6794,Bike
VH001871,CID003118,KA20AB1915,Bike
VH001872,CID003119,KA84AB8276,Car
VH001873,CID003122,KA41AB4981,Truck
VH001874,CID003123,KA64AB1302,Car
VH001875,CID003124,KA76AB7946,Car
VH001876,CID003125,KA85AB3807,Bike
VH001877,CID003130,KA85AB9786,Car
VH001878,CID003131,KA40AB7705,Bike
VH001879,CID003133,KA21AB8501,Truck
VH001880,CID003134,KA09AB7827,Auto
VH001881,CID003135,KA85AB6725,Auto
VH001882,CID003136,KA21AB3791,Bike
VH001883,CID003137,KA45AB4056,Truck
VH001884,CID003139,KA96AB1504,Car
VH001885,CID003141,KA77AB2443,Car
VH001886,CID003143,KA67AB2462,Auto
VH001887,CID003144,KA12AB3636,Bike
VH001888,CID003145,KA69AB7115,Truck
VH001889,CID003146,KA69AB5257,Car
VH001890,CID003148,KA63AB8689,Truck
VH001891,CID003149,KA44AB4765,Auto
VH001892,CID003150,KA30AB3584,Bike
VH001893,CID003151,KA92AB5525,Car
VH001894,CID003153,KA38AB1486,Auto
VH001895,CID003154,KA91AB9174,Auto
VH001896,CID003155,KA87AB8473,Car
VH001897,CID003156,KA23AB4835,Truck
VH001898,CID003157,KA32AB3275,Car
VH001899,CID003159,KA18AB5476,Truck
VH001900,CID003160,KA40AB2273,Truck
VH001901,CID003161,KA92AB6766,Auto
VH001902,CID003162,KA03AB6543,Bike
VH001903,CID003164,KA54AB9011,Car
VH001904,CID003165,KA08AB1870,Auto
VH001905,CID003166,KA76AB6412,Truck
VH001906,CID003167,KA38AB4956,Auto
VH001907,CID003168,KA93AB1324,Bike
VH001908,CID003170,KA96AB4772,Truck
VH001909,CID003171,KA62AB2901,Car
VH001910,CID003172,KA14AB1132,Truck
VH001911,CID003174,KA56AB2959,Truck
VH001912,CID003176,KA97AB1853,Auto
VH001913,CID003177,KA13AB4628,Car
VH001914,CID003180,KA86AB1967,Truck
VH001915,CID003181,KA33AB6269,Auto
VH001916,CID003183,KA27AB8432,Truck
VH001917,CID003184,KA45AB1213,Auto
VH001918,CID003185,KA93AB4188,Car
VH001919,CID003187,KA07AB4124,Truck
VH001920,CID003189,KA55AB6359,Bike
VH001921,CID003190,KA97AB8223,Car
VH001922,CID003191,KA66AB4085,Auto
VH001923,CID003192,KA30AB2075,Auto
VH001924,CID003193,KA04AB4991,Bike
VH001925,CID003194,KA15AB5506,Bike
VH001926,CID003195,KA01AB4722,Car
VH001927,CID003196,KA84AB7398,Auto
VH001928,CID003197,KA32AB3152,Car
VH001929,CID003201,KA87AB3847,Auto
VH001930,CID003202,KA44AB8217,Bike
VH001931,CID003203,KA02AB5727,Car
VH001932,CID003204,KA22AB1150,Bike
VH001933,CID003206,KA34AB5775,Auto
VH001934,CID003207,KA23AB2743,Car
VH001935,CID003212,KA53AB5427,Truck
VH001936,CID003213,KA60AB1829,Auto
VH001937,CID003216,KA80AB6826,Auto
VH001938,CID003218,KA67AB3578,Truck
VH001939,CID003219,KA53AB9572,Auto
VH001940,CID003221,KA11AB8036,Bike
VH001941,CID003223,KA39AB1464,Auto
VH001942,CID003224,KA46AB1132,Car
VH001943,CID003225,KA52AB6589,Bike
VH001944,CID003226,KA65AB6135,Auto
VH001945,CID003229,KA59AB7025,Car
VH001946,CID003230,KA20AB4739,Truck
VH001947,CID003233,KA50AB8219,Auto
VH001948,CID003234,KA37AB6521,Truck
VH001949,CID003235,KA10AB3687,Bike
VH001950,CID003236,KA82AB2602,Bike
VH001951,CID003238,KA31AB7334,Bike
VH001952,CID003240,KA83AB3904,Auto
VH001953,CID003241,KA55AB1967,Auto
VH001954,CID003245,KA10AB3998,Bike
VH001955,CID003246,KA50AB8547,Bike
VH001956,CID003247,KA72AB5382,Bike
VH001957,CID003248,KA95AB1647,Bike
VH001958,CID003249,KA35AB5158,Bike
VH001959,CID003251,KA04AB6534,Truck
VH001960,CID003252,KA67AB7129,Truck
VH001961,CID003257,KA22AB2578,Car
VH001962,CID003258,KA63AB4773,Car
VH001963,CID003260,KA76AB3098,Truck
VH001964,CID003263,KA99AB6973,Auto
VH001965,CID003264,KA02AB9498,Car
VH001966,CID003265,KA01AB5641,Truck
VH001967,CID003266,KA03AB3369,Bike
VH001968,CID003267,KA07AB8391,Car
VH001969,CID003269,KA69AB7685,Truck
VH001970,CID003270,KA66AB4477,Bike
VH001971,CID003273,KA58AB9187,Auto
VH001972,CID003274,KA27AB6232,Truck
VH001973,CID003275,KA27AB9890,Car
VH001974,CID003276,KA40AB4854,Bike
VH001975,CID003277,KA40AB3117,Auto
VH001976,CID003278,KA80AB8065,Bike
VH001977,CID003279,KA66AB9338,Auto
VH001978,CID003280,KA86AB3810,Truck
VH001979,CID003281,KA78AB5685,Car
VH001980,CID003282,KA15AB6615,Truck
VH001981,CID003286,KA49AB2148,Auto
VH001982,CID003287,KA75AB5052,Car
VH001983,CID003288,KA28AB1780,Truck
VH001984,CID003289,KA96AB8409,Bike
VH001985,CID003290,KA82AB6901,Bike
VH001986,CID003291,KA72AB4201,Bike
VH001987,CID003292,KA48AB7316,Truck
VH001988,CID003293,KA24AB9045,Car
VH001989,CID003294,KA73AB5145,Truck
VH001990,CID003295,KA46AB3493,Auto
VH001991,CID003296,KA60AB8754,Truck
VH001992,CID003297,KA82AB2501,Car
VH001993,CID003299,KA76AB7822,Bike
VH001994,CID003300,KA93AB1161,Bike
VH001995,CID003302,KA16AB5466,Truck
VH001996,CID003304,KA80AB4590,Auto
VH001997,CID003305,KA57AB9019,Car
VH001998,CID003306,KA33AB6423,Truck
VH001999,CID003308,KA27AB7610,Bike
VH002000,CID003309,KA83AB4182,Auto
VH002001,CID003312,KA91AB3418,Truck
VH002002,CID003313,KA74AB8857,Auto
VH002003,CID003314,KA62AB6396,Car
VH002004,CID003315,KA18AB9961,Car
VH002005,CID003317,KA83AB3054,Bike
VH002006,CID003318,KA42AB9734,Truck
VH002007,CID003319,KA79AB7493,Truck
VH002008,CID003320,KA96AB1330,Truck
VH002009,CID003321,KA63AB1605,Bike
VH002010,CID003324,KA77AB3377,Bike
VH002011,CID003328,KA26AB7548,Bike
VH002012,CID003329,KA52AB5663,Auto
VH002013,CID003330,KA50AB1471,Bike
VH002014,CID003331,KA41AB2964,Bike
VH002015,CID003332,KA59AB5634,Car
VH002016,CID003334,KA93AB4984,Car
VH002017,CID003335,KA34AB1956,Car
VH002018,CID003336,KA58AB9396,Auto
VH002019,CID003337,KA09AB5530,Bike
VH002020,CID003338,KA74AB9395,Truck
VH002021,CID003339,KA27AB5396,Auto
VH002022,CID003340,KA57AB1992,Bike
VH002023,CID003342,KA32AB8561,Car
VH002024,CID003344,KA03AB2637,Car
VH002025,CID003345,KA04AB8414,Car
VH002026,CID003346,KA55AB1856,Car
VH002027,CID003347,KA48AB2946,Auto
VH002028,CID003348,KA14AB8206,Auto
VH002029,CID003349,KA78AB6212,Bike
VH002030,CID003352,KA21AB8740,Bike
VH002031,CID003353,KA19AB8403,Truck
VH002032,CID003355,KA50AB6877,Car
VH002033,CID003360,KA52AB4765,Truck
VH002034,CID003363,KA42AB9075,Truck
VH002035,CID003364,KA51AB8219,Bike
VH002036,CID003365,KA08AB2507,Auto
VH002037,CID003366,KA87AB8145,Truck
VH002038,CID003367,KA68AB4463,Car
VH002039,CID003368,KA12AB9953,Bike
VH002040,CID003369,KA22AB9293,Bike
VH002041,CID003371,KA79AB1419,Car
VH002042,CID003373,KA84AB3675,Car
VH002043,CID003374,KA85AB6089,Bike
VH002044,CID003376,KA41AB6758,Auto
VH002045,CID003377,KA28AB4958,Truck
VH002046,CID003379,KA64AB4849,Truck
VH002047,CID003380,KA21AB6624,Auto
