evidence_id,case_id,evidence_type,description,status,collected_by
EV000876,CASE002767,Fingerprint,Eveniet consectetur id delectus mollitia nesciunt laborum ab nemo accusantium quisquam.,Pending Analysis,OFF00135
EV000877,CASE003522,WhatsApp Chat,Nobis vero delectus quam praesentium eligendi.,Sent to FSL,OFF00500
EV000878,CASE004775,Call Records,Aspernatur quaerat illo eaque voluptates temporibus nobis.,Pending Analysis,OFF00186
EV000879,CASE002745,CCTV Footage,Dolor illum quae animi quia.,Collected,OFF00078
EV000880,CASE008137,Weapon,Hic eaque enim dolorum dolorem perspiciatis quis ad quis.,Pending Analysis,OFF00188
EV000881,CASE003920,Vehicle,Eos quis soluta expedita vero similique iusto odio tempore.,Pending Analysis,OFF00285
EV000882,CASE004630,Vehicle,Sit ullam voluptatum repellendus veritatis mollitia deserunt nobis ab atque sint.,Pending Analysis,OFF00046
EV000883,CASE003072,Mobile Phone,Dolore saepe unde molestias mollitia quisquam modi tempora unde minima.,Sent to FSL,OFF00042
EV000884,CASE005123,Vehicle,Pariatur ut numquam praesentium optio corrupti.,Pending Analysis,OFF00457
EV000885,CASE000586,DNA Sample,Itaque eum ipsam temporibus unde optio nam sit temporibus illo.,Verified,OFF00259
EV000886,CASE003279,Call Records,Quis in mollitia quibusdam error sit fuga deserunt neque odio.,Collected,OFF00023
EV000887,CASE008780,Fingerprint,Voluptas quia maiores eum.,Verified,OFF00220
EV000888,CASE009009,CCTV Footage,Voluptatum iure esse odio enim quod adipisci consequatur.,Verified,OFF00378
EV000889,CASE001751,SIM Card,Quia vitae recusandae facere ipsam expedita veniam.,Pending Analysis,OFF00321
EV000890,CASE005586,SIM Card,Molestiae repudiandae accusantium eligendi natus alias necessitatibus dolores maiores expedita.,Collected,OFF00400
EV000891,CASE006864,SIM Card,Corrupti suscipit hic beatae porro quisquam.,Verified,OFF00362
EV000892,CASE001187,Mobile Phone,Consequuntur dolores dignissimos praesentium voluptas pariatur eos inventore.,Sent to FSL,OFF00089
EV000893,CASE005835,Bank Statement,Labore laudantium mollitia inventore totam officiis accusantium placeat culpa.,Collected,OFF00435
EV000894,CASE000225,Video,Ullam sapiente quaerat vero.,Verified,OFF00290
EV000895,CASE006037,Passport,Quod adipisci tenetur officiis quia nobis deserunt ipsam deleniti nobis earum.,Verified,OFF00033
EV000896,CASE009803,Vehicle,Alias ut quas autem excepturi eveniet molestias repudiandae.,Pending Analysis,OFF00030
EV000897,CASE009575,CCTV Footage,Iste in unde quaerat.,Verified,OFF00081
EV000898,CASE005256,Driving License,Laborum placeat consequatur quidem soluta minima ut praesentium iure.,Verified,OFF00206
EV000899,CASE005596,WhatsApp Chat,Ad mollitia enim hic tenetur.,Verified,OFF00315
EV000900,CASE000877,Passport,Veniam fuga eligendi atque reiciendis modi illum necessitatibus reiciendis.,Verified,OFF00189
EV000901,CASE004780,Mobile Phone,Minima autem eligendi dolor repudiandae facere distinctio eum voluptates doloribus.,Collected,OFF00363
EV000902,CASE005877,Fingerprint,Praesentium tempore optio quod illo quae explicabo praesentium.,Verified,OFF00162
EV000903,CASE002342,Passport,Possimus et ad a reprehenderit facilis aliquid ipsam.,Collected,OFF00428
EV000904,CASE005739,Bank Statement,Qui assumenda impedit minima nesciunt voluptatem quo eum.,Pending Analysis,OFF00047
EV000905,CASE007397,Vehicle,Tempore aut quam aliquid quasi.,Sent to FSL,OFF00217
EV000906,CASE006991,Weapon,Quaerat voluptas distinctio incidunt atque corrupti voluptate magnam.,Collected,OFF00148
EV000907,CASE007228,Fingerprint,Iste temporibus vitae voluptas nihil id velit in architecto praesentium.,Verified,OFF00033
EV000908,CASE005101,SIM Card,Atque voluptatum hic ratione quasi veniam.,Collected,OFF00499
EV000909,CASE006916,Passport,Sit in repellat tempore porro quia inventore.,Verified,OFF00100
EV000910,CASE005698,Weapon,Pariatur nostrum voluptatum tempore sed.,Collected,OFF00491
EV000911,CASE007874,Fingerprint,Id animi harum earum explicabo.,Collected,OFF00046
EV000912,CASE003258,Bank Statement,Temporibus repellendus voluptatem dignissimos eligendi consequuntur voluptatum adipisci.,Sent to FSL,OFF00026
EV000913,CASE005775,Mobile Phone,Nisi quidem doloremque veritatis officiis id harum.,Sent to FSL,OFF00142
EV000914,CASE001927,Laptop,Error dignissimos illum asperiores eveniet laboriosam.,Collected,OFF00490
EV000915,CASE007996,Fingerprint,Ullam voluptates quia cumque deleniti ut quidem expedita numquam dolores.,Sent to FSL,OFF00137
EV000916,CASE004725,Photo,Veritatis ex officiis commodi rem blanditiis nostrum officiis aliquam laudantium.,Pending Analysis,OFF00373
EV000917,CASE008589,Bank Statement,Labore veniam numquam natus asperiores nostrum vero fugiat.,Collected,OFF00417
EV000918,CASE008766,Laptop,Qui quaerat explicabo vero rerum.,Pending Analysis,OFF00207
EV000919,CASE006877,Bank Statement,Nemo id et eligendi mollitia reiciendis quidem maxime et amet.,Sent to FSL,OFF00358
EV000920,CASE008891,SIM Card,Odio sapiente odit dolorum suscipit eos.,Collected,OFF00094
EV000921,CASE006996,Weapon,Doloribus modi deleniti error quos corporis.,Pending Analysis,OFF00252
EV000922,CASE007905,Mobile Phone,Alias qui dolore dolor maxime nihil porro debitis odio harum autem.,Verified,OFF00445
EV000923,CASE003510,Passport,Ea dignissimos blanditiis et reprehenderit temporibus.,Sent to FSL,OFF00122
EV000924,CASE001475,Call Records,Neque accusantium nesciunt eaque iste.,Verified,OFF00194
EV000925,CASE002191,Fingerprint,Eaque autem officia nesciunt aut fuga ratione eaque.,Sent to FSL,OFF00096
EV000926,CASE006042,CCTV Footage,Quam exercitationem voluptatibus sequi facere.,Collected,OFF00071
EV000927,CASE000819,Passport,Porro aperiam consequatur ea laboriosam cupiditate quod eum.,Collected,OFF00428
EV000928,CASE006155,Laptop,Adipisci laboriosam nihil atque blanditiis.,Pending Analysis,OFF00448
EV000929,CASE002438,Weapon,Labore aperiam ratione rerum eos molestiae quo iusto modi.,Verified,OFF00465
EV000930,CASE003534,Photo,Vero delectus in veniam fugiat aliquid nostrum reprehenderit autem similique.,Pending Analysis,OFF00319
EV000931,CASE001051,Video,Culpa eaque animi placeat placeat.,Verified,OFF00348
EV000932,CASE000067,Vehicle,Itaque odio laborum molestiae vitae.,Sent to FSL,OFF00151
EV000933,CASE002682,Mobile Phone,Assumenda quis ad ab quae exercitationem in nihil.,Verified,OFF00427
EV000934,CASE003517,Video,Facilis atque saepe sequi molestiae.,Pending Analysis,OFF00400
EV000935,CASE003376,Photo,Repellat incidunt dolore quidem distinctio voluptas.,Verified,OFF00209
EV000936,CASE001648,Bank Statement,Ab enim impedit distinctio aliquid.,Collected,OFF00153
EV000937,CASE000146,Driving License,Ipsum totam nemo consequuntur consequuntur nulla autem accusantium.,Collected,OFF00483
EV000938,CASE002498,Video,Perspiciatis ut amet a ipsa amet error magnam.,Collected,OFF00220
EV000939,CASE001786,Mobile Phone,At voluptates repellat dignissimos minus provident.,Collected,OFF00314
EV000940,CASE000908,CCTV Footage,Neque quisquam laborum cupiditate.,Sent to FSL,OFF00196
EV000941,CASE006349,Bank Statement,Perferendis doloribus tempora ipsa nobis illo.,Sent to FSL,OFF00433
EV000942,CASE006042,Passport,Quas molestias optio explicabo quas vel.,Verified,OFF00237
EV000943,CASE000281,Laptop,Tempore necessitatibus perspiciatis ab animi aut quae consequuntur mollitia.,Collected,OFF00411
EV000944,CASE007885,Laptop,Quasi provident aspernatur earum nostrum.,Verified,OFF00436
EV000945,CASE006950,Laptop,Nulla similique ipsum laudantium veniam earum.,Collected,OFF00236
EV000946,CASE006242,WhatsApp Chat,Occaecati expedita dolore est quibusdam ipsa ducimus quia dolore fugiat.,Verified,OFF00025
EV000947,CASE006475,Photo,Deleniti aliquam vitae esse facere.,Sent to FSL,OFF00157
EV000948,CASE008883,Laptop,Inventore magnam saepe consequatur rem sapiente laboriosam facilis eum.,Pending Analysis,OFF00066
EV000949,CASE009372,CCTV Footage,Quae reprehenderit est sunt maiores amet ut.,Verified,OFF00291
EV000950,CASE001636,Mobile Phone,Dicta eaque voluptatum placeat quas.,Collected,OFF00151
EV000951,CASE007153,Driving License,Necessitatibus a sapiente eos quibusdam laborum.,Sent to FSL,OFF00318
EV000952,CASE002251,Driving License,Unde molestias mollitia quam aspernatur ipsa adipisci tenetur beatae.,Pending Analysis,OFF00272
EV000953,CASE002844,Vehicle,Nihil corrupti aperiam deleniti dolor molestias aperiam fugit.,Pending Analysis,OFF00462
EV000954,CASE006882,WhatsApp Chat,Minima atque dolore voluptates accusamus ipsa commodi earum.,Collected,OFF00435
EV000955,CASE005122,Driving License,Rerum esse corporis sit at sunt earum at.,Sent to FSL,OFF00270
EV000956,CASE007387,Call Records,Mollitia porro officiis unde explicabo porro.,Verified,OFF00446
EV000957,CASE008745,Vehicle,Eveniet repudiandae qui laboriosam explicabo voluptates veniam.,Collected,OFF00458
EV000958,CASE008142,Passport,Asperiores pariatur totam eveniet dignissimos dolore.,Sent to FSL,OFF00375
EV000959,CASE001364,Call Records,Hic blanditiis quasi reprehenderit adipisci ipsam eveniet illum.,Pending Analysis,OFF00156
EV000960,CASE003890,SIM Card,Quam quo iure sapiente voluptate dolores eum.,Sent to FSL,OFF00174
EV000961,CASE004082,Fingerprint,Autem iste numquam animi totam voluptas laudantium voluptatibus.,Pending Analysis,OFF00499
EV000962,CASE008657,Vehicle,Nesciunt dolor quaerat at libero aliquid quibusdam.,Collected,OFF00274
EV000963,CASE002699,Video,Voluptatibus corrupti hic pariatur optio eveniet delectus.,Verified,OFF00418
EV000964,CASE007301,Weapon,Quo iusto ea molestiae earum ratione similique quasi.,Pending Analysis,OFF00163
EV000965,CASE004265,Vehicle,Sit est dolore ullam consequatur esse vel.,Pending Analysis,OFF00198
EV000966,CASE002896,Fingerprint,Hic provident aperiam voluptas non voluptatibus aperiam itaque repellat neque.,Pending Analysis,OFF00188
EV000967,CASE006541,Passport,Dolores nulla ut delectus illum recusandae.,Verified,OFF00165
EV000968,CASE001243,Laptop,Id fugit iste dolorem consequatur blanditiis in.,Verified,OFF00022
EV000969,CASE001047,Fingerprint,Sed nostrum voluptatem autem magnam veritatis.,Pending Analysis,OFF00268
EV000970,CASE009038,Passport,Maxime exercitationem maiores dolorem earum dolorum alias.,Verified,OFF00240
EV000971,CASE000996,SIM Card,Necessitatibus deserunt inventore nihil.,Sent to FSL,OFF00454
EV000972,CASE003313,Vehicle,Et accusantium explicabo optio asperiores expedita nisi sit.,Verified,OFF00358
EV000973,CASE004253,Photo,Corporis consequuntur assumenda repudiandae in blanditiis culpa expedita.,Pending Analysis,OFF00250
EV000974,CASE003210,Vehicle,Magnam totam magni sed quas minima deserunt quam.,Collected,OFF00224
EV000975,CASE009763,WhatsApp Chat,Tempora earum nostrum temporibus nulla.,Pending Analysis,OFF00090
EV000976,CASE004322,Driving License,Quae quidem expedita quos sapiente quos expedita rerum incidunt similique.,Sent to FSL,OFF00196
EV000977,CASE003877,SIM Card,Odit reiciendis consequuntur labore omnis molestiae non tempore voluptatem.,Collected,OFF00036
EV000978,CASE008000,Driving License,Sint a cupiditate fuga corporis ipsam minus.,Collected,OFF00102
EV000979,CASE007712,Video,Fugiat saepe suscipit doloremque adipisci itaque placeat deserunt velit quibusdam.,Verified,OFF00287
EV000980,CASE008434,Weapon,Mollitia impedit sapiente quisquam nemo minus neque.,Pending Analysis,OFF00185
EV000981,CASE004324,DNA Sample,Exercitationem minus necessitatibus harum dignissimos velit.,Collected,OFF00222
EV000982,CASE007967,Fingerprint,Molestiae facere vel impedit harum.,Collected,OFF00182
EV000983,CASE003570,Weapon,Tempora dolor totam sapiente doloremque accusantium aspernatur expedita temporibus.,Collected,OFF00167
EV000984,CASE009003,Fingerprint,Quis nam voluptate ab perferendis sit doloremque.,Pending Analysis,OFF00488
EV000985,CASE003777,WhatsApp Chat,Blanditiis sint aliquid occaecati itaque quis labore.,Verified,OFF00314
EV000986,CASE003960,Fingerprint,Quo quis numquam incidunt quibusdam dignissimos.,Collected,OFF00320
EV000987,CASE009289,Mobile Phone,Autem tempora reiciendis blanditiis est esse.,Verified,OFF00432
EV000988,CASE007994,DNA Sample,Quisquam nulla adipisci aliquam tenetur facere officia molestias aspernatur.,Verified,OFF00300
EV000989,CASE007934,Bank Statement,Architecto a harum consequatur aperiam.,Sent to FSL,OFF00463
EV000990,CASE007957,Passport,Nostrum accusantium a ex dolor ipsum id asperiores nostrum.,Pending Analysis,OFF00483
EV000991,CASE007055,Passport,Iure dolorum nesciunt ducimus voluptas.,Collected,OFF00015
EV000992,CASE009550,Vehicle,Itaque vero corrupti cumque.,Verified,OFF00035
EV000993,CASE008784,Mobile Phone,Expedita quod minus eum hic.,Verified,OFF00281
EV000994,CASE009362,Bank Statement,Magni voluptates ratione quibusdam minima consectetur nam aliquam occaecati fugit.,Pending Analysis,OFF00022
EV000995,CASE009014,Photo,Dolorem dolores totam iusto fugit.,Sent to FSL,OFF00026
EV000996,CASE008664,Mobile Phone,Dolores voluptas itaque magnam magni deleniti quas ratione suscipit laborum.,Collected,OFF00494
EV000997,CASE003594,Call Records,Sit ipsum necessitatibus iure unde laboriosam distinctio vel quam.,Sent to FSL,OFF00253
EV000998,CASE006277,Driving License,Quia nam in iure officiis reprehenderit illum molestias.,Verified,OFF00313
EV000999,CASE006242,Vehicle,Aliquam labore ut officia provident perspiciatis culpa distinctio sed unde.,Verified,OFF00247
EV001000,CASE001822,WhatsApp Chat,Ratione quam omnis laudantium recusandae error amet delectus.,Sent to FSL,OFF00315
EV001001,CASE003721,WhatsApp Chat,Deleniti sequi vel totam occaecati laboriosam.,Collected,OFF00101
EV001002,CASE004866,Weapon,Quisquam eveniet laudantium nemo quibusdam blanditiis.,Collected,OFF00451
EV001003,CASE001360,WhatsApp Chat,Veritatis ipsum error ullam porro mollitia sunt.,Verified,OFF00370
EV001004,CASE004541,Laptop,Quisquam debitis quo necessitatibus ipsa.,Verified,OFF00139
EV001005,CASE007869,Bank Statement,Eius ullam repellendus pariatur iure.,Pending Analysis,OFF00393
EV001006,CASE007149,Driving License,Odit perspiciatis ducimus consequuntur ea provident minima repellat dolorem exercitationem.,Verified,OFF00197
EV001007,CASE006867,Call Records,Vel doloremque voluptatibus quod at aut neque consequuntur quo deleniti.,Verified,OFF00485
EV001008,CASE007839,Fingerprint,Impedit tempora laboriosam temporibus quam eius explicabo error est.,Pending Analysis,OFF00184
EV001009,CASE002836,Passport,Velit asperiores quidem autem iste asperiores aspernatur.,Collected,OFF00434
EV001010,CASE008293,Weapon,Modi quibusdam nemo quaerat illo sapiente totam.,Sent to FSL,OFF00358
EV001011,CASE004147,Bank Statement,Eos voluptatibus quisquam enim iste officiis molestiae sit.,Collected,OFF00221
EV001012,CASE001145,SIM Card,Quas architecto dignissimos quos eius nisi explicabo soluta voluptate.,Verified,OFF00196
EV001013,CASE000188,CCTV Footage,Ducimus aspernatur repellendus velit velit perspiciatis facere.,Collected,OFF00265
EV001014,CASE008383,Mobile Phone,Dolore omnis repudiandae numquam dolorem pariatur odio inventore.,Verified,OFF00176
EV001015,CASE008243,DNA Sample,Laboriosam voluptatibus facilis rerum laborum placeat veritatis.,Collected,OFF00074
EV001016,CASE003106,Laptop,Nesciunt repellendus accusantium doloribus eos delectus delectus necessitatibus suscipit voluptas.,Pending Analysis,OFF00141
EV001017,CASE003197,Fingerprint,Modi debitis veniam hic ad fugiat a molestias.,Verified,OFF00213
EV001018,CASE005786,Weapon,Voluptate provident quos molestiae consequuntur deserunt repudiandae.,Pending Analysis,OFF00454
EV001019,CASE004338,Photo,Laudantium nulla eos esse distinctio fuga illo.,Sent to FSL,OFF00461
EV001020,CASE004221,Vehicle,Nesciunt dolor unde porro debitis ratione soluta.,Sent to FSL,OFF00225
EV001021,CASE007171,Vehicle,Fuga quas consequuntur similique dolorem distinctio consequuntur quia perspiciatis.,Pending Analysis,OFF00378
EV001022,CASE000131,CCTV Footage,Dolor dolore porro reiciendis provident nisi pariatur nisi distinctio nobis.,Verified,OFF00137
EV001023,CASE008799,Laptop,Reiciendis est non dolor et dolorem.,Verified,OFF00294
EV001024,CASE005952,CCTV Footage,Saepe molestias rem ratione facere accusamus minus voluptate cupiditate nisi.,Sent to FSL,OFF00028
EV001025,CASE005300,Passport,Architecto minima maiores modi asperiores illo suscipit id facere.,Sent to FSL,OFF00403
EV001026,CASE005889,Mobile Phone,Necessitatibus rem voluptatibus quia praesentium nam.,Sent to FSL,OFF00371
EV001027,CASE000965,Call Records,Iste pariatur dolorum amet saepe id.,Pending Analysis,OFF00222
EV001028,CASE004107,Photo,Itaque consectetur nam deleniti tempore hic consequuntur.,Pending Analysis,OFF00094
EV001029,CASE000922,CCTV Footage,Aut quaerat vitae adipisci magni voluptas nam provident.,Sent to FSL,OFF00126
EV001030,CASE000426,SIM Card,Placeat excepturi totam magni.,Verified,OFF00222
EV001031,CASE009463,Bank Statement,Delectus quae corporis rerum odio quas recusandae.,Verified,OFF00083
EV001032,CASE007813,Bank Statement,Iusto voluptate fugiat dolor blanditiis itaque minus sapiente eum veniam.,Verified,OFF00239
EV001033,CASE001055,Mobile Phone,Accusamus veniam voluptate molestias quam itaque quidem cumque maxime quidem.,Verified,OFF00386
EV001034,CASE009108,SIM Card,Sunt quam alias explicabo consequatur eveniet voluptatum corporis quo.,Collected,OFF00163
EV001035,CASE007043,Fingerprint,Minima corrupti possimus qui ducimus.,Sent to FSL,OFF00183
EV001036,CASE001597,Vehicle,Architecto repellendus soluta sequi sit ut corrupti accusamus.,Verified,OFF00274
EV001037,CASE003904,Weapon,Quaerat dolor sint hic possimus perferendis.,Verified,OFF00468
EV001038,CASE001786,Vehicle,Veritatis aut numquam necessitatibus possimus libero voluptatibus.,Collected,OFF00448
EV001039,CASE007561,Laptop,Eveniet beatae labore optio placeat rerum deserunt maiores labore nam.,Sent to FSL,OFF00204
EV001040,CASE007575,CCTV Footage,Odit dolorem fuga animi repellat quo unde ex.,Sent to FSL,OFF00468
EV001041,CASE009839,CCTV Footage,Neque dolor expedita fugit veniam aut impedit cumque repellendus officia.,Collected,OFF00455
EV001042,CASE008134,DNA Sample,Reprehenderit expedita cupiditate omnis asperiores.,Collected,OFF00146
EV001043,CASE006654,Video,Tenetur optio ut corrupti quia quidem dolores nihil iusto.,Collected,OFF00285
EV001044,CASE003136,CCTV Footage,Dolorum quaerat fugit et minus numquam.,Pending Analysis,OFF00480
EV001045,CASE007103,Passport,Maiores excepturi aliquid excepturi aperiam totam tempora atque voluptate animi soluta.,Verified,OFF00229
EV001046,CASE004283,CCTV Footage,Quo sed rerum ipsa deserunt.,Verified,OFF00280
EV001047,CASE006479,Fingerprint,Cum ex quo quia atque dolorum.,Collected,OFF00238
EV001048,CASE005384,DNA Sample,Veritatis delectus officiis dolorem magnam qui consequatur inventore.,Sent to FSL,OFF00121
EV001049,CASE007712,Fingerprint,Voluptatum odit pariatur iusto sapiente recusandae labore.,Verified,OFF00082
EV001050,CASE003137,Fingerprint,Beatae ipsa nemo magni tenetur perspiciatis.,Collected,OFF00442
EV001051,CASE005674,Vehicle,Placeat consequatur at est inventore quaerat.,Pending Analysis,OFF00417
EV001052,CASE006683,Vehicle,Nam iure quam vel autem vitae.,Verified,OFF00475
EV001053,CASE004966,Vehicle,Libero minima incidunt culpa eaque excepturi.,Pending Analysis,OFF00317
EV001054,CASE005619,Bank Statement,Quae aspernatur itaque reprehenderit vitae itaque.,Sent to FSL,OFF00270
EV001055,CASE003906,Driving License,Rem nulla iste ullam reiciendis sint rem.,Sent to FSL,OFF00112
EV001056,CASE005824,Video,Quia natus voluptatem dicta vel dolorum porro reprehenderit dolorum.,Collected,OFF00018
EV001057,CASE005069,Passport,Nesciunt enim repellat id minus.,Verified,OFF00137
EV001058,CASE003650,Laptop,Dignissimos alias incidunt rerum cupiditate culpa.,Pending Analysis,OFF00001
EV001059,CASE003655,Video,Totam quo quod numquam atque magnam possimus sit unde impedit.,Pending Analysis,OFF00224
EV001060,CASE000217,CCTV Footage,Quo nisi laboriosam ipsam debitis aspernatur aperiam tenetur.,Pending Analysis,OFF00227
EV001061,CASE004595,Mobile Phone,Neque nulla quia voluptate voluptatem ipsa quae.,Verified,OFF00360
EV001062,CASE008651,Video,Debitis fuga optio ad officia accusamus.,Collected,OFF00193
EV001063,CASE009728,Driving License,Itaque quia consectetur veniam optio quia dignissimos rem.,Verified,OFF00304
EV001064,CASE005087,Weapon,Autem minus quod deserunt ut.,Collected,OFF00201
EV001065,CASE001902,CCTV Footage,Velit ullam labore maiores totam.,Collected,OFF00223
EV001066,CASE003273,Video,Corporis eaque nobis beatae doloribus ullam quod quos laudantium quis.,Collected,OFF00034
EV001067,CASE003567,Laptop,Dolore qui dolore eius deserunt soluta non.,Pending Analysis,OFF00328
EV001068,CASE002573,Laptop,Quis explicabo ratione autem incidunt laboriosam voluptatem eaque.,Sent to FSL,OFF00389
EV001069,CASE002136,Weapon,Dignissimos error neque non quis recusandae necessitatibus iste excepturi.,Sent to FSL,OFF00175
EV001070,CASE008560,Weapon,Animi laborum earum quia ullam voluptas iste expedita voluptatem a aspernatur.,Pending Analysis,OFF00162
EV001071,CASE003480,Vehicle,Est facilis odit repudiandae consectetur amet mollitia dolorum voluptatem ratione.,Collected,OFF00444
EV001072,CASE006485,SIM Card,Dolore aliquam ratione id magnam eius.,Pending Analysis,OFF00458
EV001073,CASE009598,Photo,Impedit quod sed libero tempore error facilis quaerat.,Collected,OFF00356
EV001074,CASE000470,Bank Statement,Adipisci blanditiis accusantium quibusdam iusto reprehenderit consectetur id amet libero corporis.,Pending Analysis,OFF00161
EV001075,CASE009548,Driving License,Possimus aspernatur distinctio veritatis quod expedita.,Collected,OFF00210
EV001076,CASE005021,Passport,Iure expedita non possimus odio ducimus dolore nihil.,Verified,OFF00017
EV001077,CASE008461,Call Records,Corporis doloribus provident iste tempora tempora voluptatum quo iste.,Sent to FSL,OFF00297
EV001078,CASE005464,Passport,Nulla quis facere numquam itaque ex necessitatibus iure laborum ut.,Verified,OFF00493
EV001079,CASE001032,CCTV Footage,Incidunt molestiae dolorum reiciendis nemo placeat.,Pending Analysis,OFF00376
EV001080,CASE007479,Mobile Phone,Numquam nihil praesentium doloremque animi fuga consequatur cumque consectetur quidem.,Collected,OFF00003
EV001081,CASE008760,CCTV Footage,Hic alias neque quidem libero nesciunt a enim consectetur.,Pending Analysis,OFF00446
EV001082,CASE007443,Mobile Phone,Commodi voluptatum placeat quia ipsam sunt odio ad quia.,Sent to FSL,OFF00296
EV001083,CASE001793,Mobile Phone,Saepe deleniti quo minima consectetur delectus laboriosam libero distinctio saepe.,Collected,OFF00237
EV001084,CASE002757,DNA Sample,Placeat iste in et ab nam.,Verified,OFF00204
EV001085,CASE003443,Mobile Phone,Omnis iste neque reprehenderit ipsa rem iure beatae saepe dicta.,Pending Analysis,OFF00040
EV001086,CASE006287,SIM Card,Ipsam eum ut ipsam voluptate nulla harum dolores.,Sent to FSL,OFF00209
EV001087,CASE007638,Video,Nostrum alias tempora error quasi delectus delectus.,Verified,OFF00307
EV001088,CASE004994,WhatsApp Chat,Quidem praesentium accusamus molestias vitae explicabo illo ducimus ad tempora.,Collected,OFF00476
EV001089,CASE001323,Driving License,Nobis rerum voluptatum occaecati exercitationem ad.,Collected,OFF00162
EV001090,CASE006464,Laptop,Expedita sint laudantium eveniet corrupti reiciendis sapiente exercitationem.,Pending Analysis,OFF00374
EV001091,CASE001263,Passport,Libero molestias commodi totam harum consectetur ad quam.,Collected,OFF00089
EV001092,CASE005666,WhatsApp Chat,At quia quia ea quasi quae.,Sent to FSL,OFF00339
EV001093,CASE005530,Video,Magni nihil odio ab debitis consectetur esse magnam adipisci laboriosam.,Sent to FSL,OFF00198
EV001094,CASE001472,Vehicle,Inventore esse fugiat amet commodi illo.,Pending Analysis,OFF00465
EV001095,CASE006441,WhatsApp Chat,Sequi fugiat ducimus nobis deleniti tenetur unde.,Pending Analysis,OFF00305
EV001096,CASE009292,WhatsApp Chat,Nesciunt aperiam dicta repudiandae consequuntur id nostrum.,Verified,OFF00331
EV001097,CASE009438,Driving License,Quasi nesciunt facilis ullam recusandae placeat culpa dolorem facilis numquam.,Verified,OFF00488
EV001098,CASE001293,Laptop,Illum quam impedit accusamus culpa autem ullam consequuntur possimus corporis.,Sent to FSL,OFF00156
EV001099,CASE002490,Video,Dolore animi animi dolore incidunt.,Sent to FSL,OFF00024
EV001100,CASE001075,WhatsApp Chat,Ipsum at sunt aliquid ut laudantium.,Verified,OFF00140
EV001101,CASE002558,Vehicle,Sed esse saepe quis eligendi ducimus sed tempora ratione.,Pending Analysis,OFF00262
EV001102,CASE004112,Weapon,Illo aut earum beatae sapiente nisi quam possimus.,Collected,OFF00309
EV001103,CASE007138,Weapon,Odio ipsa excepturi excepturi recusandae.,Collected,OFF00351
EV001104,CASE002433,Weapon,Cumque eaque inventore vitae impedit repellat.,Verified,OFF00194
EV001105,CASE005289,SIM Card,Repudiandae minima nostrum provident fugit.,Verified,OFF00275
EV001106,CASE005719,CCTV Footage,Atque tempore amet voluptate culpa earum reprehenderit similique esse magni explicabo.,Pending Analysis,OFF00353
EV001107,CASE002245,Mobile Phone,Voluptate sequi fuga harum labore asperiores ducimus.,Verified,OFF00417
EV001108,CASE004769,Vehicle,Ex voluptates facere esse error ratione incidunt consequuntur.,Sent to FSL,OFF00110
EV001109,CASE008600,Call Records,Magnam soluta animi sit repellat qui facere dicta.,Pending Analysis,OFF00089
EV001110,CASE004818,Mobile Phone,Laborum rerum nobis soluta et similique blanditiis fugit maxime.,Collected,OFF00475
EV001111,CASE002759,Bank Statement,Repudiandae repellat alias incidunt animi doloremque.,Verified,OFF00154
EV001112,CASE004744,SIM Card,Quod amet autem tenetur rerum totam nesciunt dolorem voluptatum velit.,Verified,OFF00242
EV001113,CASE003100,Fingerprint,Corporis dolore vero quos provident et reiciendis iusto dignissimos.,Pending Analysis,OFF00150
EV001114,CASE009940,Mobile Phone,Libero exercitationem atque veritatis aliquam excepturi.,Sent to FSL,OFF00385
EV001115,CASE009489,Mobile Phone,Incidunt doloremque at cum ratione ea.,Sent to FSL,OFF00159
EV001116,CASE005549,Fingerprint,Aperiam consequatur aperiam dignissimos id quod saepe nesciunt qui.,Collected,OFF00385
EV001117,CASE008735,Passport,Harum odit dicta dicta in sit quae.,Collected,OFF00306
EV001118,CASE001910,CCTV Footage,Nihil minima aliquam a sed dolorum.,Verified,OFF00020
EV001119,CASE008011,CCTV Footage,Voluptas mollitia eius ex nesciunt.,Sent to FSL,OFF00436
EV001120,CASE006273,DNA Sample,Qui sit fugiat quasi sint nostrum fuga ipsam laborum ipsa soluta.,Sent to FSL,OFF00204
EV001121,CASE004058,Video,Ab atque facere nesciunt debitis illum esse.,Sent to FSL,OFF00048
EV001122,CASE009640,Photo,Ea pariatur commodi consequuntur sapiente dolore consequatur quae quibusdam quasi.,Verified,OFF00134
EV001123,CASE009492,Laptop,Minima magnam sequi rerum harum laborum deleniti velit eligendi.,Pending Analysis,OFF00279
EV001124,CASE006700,Passport,Omnis aliquam corrupti quam omnis repellat eum non.,Collected,OFF00038
EV001125,CASE003582,Bank Statement,Deserunt sed rerum perspiciatis fuga nesciunt.,Collected,OFF00384
EV001126,CASE003727,DNA Sample,Quasi mollitia repudiandae repellat sequi exercitationem.,Verified,OFF00397
EV001127,CASE004432,Video,Reprehenderit aliquid veniam eaque nam.,Collected,OFF00224
EV001128,CASE009258,Weapon,Molestiae quos accusantium in explicabo.,Collected,OFF00417
EV001129,CASE007079,Laptop,Natus ipsum magnam veniam voluptate dicta repellat illum dolores.,Collected,OFF00151
EV001130,CASE003751,CCTV Footage,Suscipit porro commodi deserunt illo vitae ut sint at excepturi.,Collected,OFF00195
