case_id,fir_number,crime_type,station_id,officer_id,status,priority,incident_date,registered_date,city,district,description,estimated_loss
CASE000669,FIR2026000669,ATM Fraud,ST0032,OFF00311,Under Investigation,Medium,2024-04-21,2024-05-21,Mangaluru,Ballari,Odit ut ipsam quia pariatur est itaque corrupti assumenda consequatur nisi.,437277
CASE000670,FIR2026000670,Online Scam,ST0004,OFF00290,Pending,Critical,2023-10-17,2023-05-10,Shivamogga,Dakshina Kannada,Odio eius nemo quidem quia dolor veritatis dolores debitis architecto culpa ducimus quo ipsum maiores reprehenderit.,426058
CASE000671,FIR2026000671,Kidnapping,ST0044,OFF00374,Pending,Critical,2026-04-24,2023-10-17,Mysuru,Tumakuru,Praesentium quod optio exercitationem dignissimos ab dignissimos inventore fuga odio eum commodi excepturi facere quia tempore.,579200
CASE000672,FIR2026000672,UPI Fraud,ST0056,OFF00494,Open,Medium,2026-02-27,2025-03-30,Mangaluru,Dharwad,Officiis tempore omnis consectetur minus tenetur quisquam dolor magnam recusandae alias dolore.,978896
CASE000673,FIR2026000673,Assault,ST0017,OFF00275,Closed,Low,2026-04-24,2026-01-31,Ballari,Bengaluru Urban,Reprehenderit facere ad explicabo sit quisquam eaque sequi asperiores ab ea.,450777
CASE000674,FIR2026000674,Murder,ST0024,OFF00426,Closed,High,2023-12-29,2026-01-31,Shivamogga,Shivamogga,Nulla eaque a assumenda officia ad cupiditate assumenda nam nulla soluta veritatis rerum.,666147
CASE000675,FIR2026000675,Identity Theft,ST0019,OFF00297,Pending,High,2024-09-23,2025-09-26,Shivamogga,Ballari,Deleniti odio et exercitationem inventore assumenda aut occaecati unde debitis suscipit voluptates.,864156
CASE000676,FIR2026000676,Identity Theft,ST0058,OFF00157,Pending,High,2023-11-12,2024-11-19,Mangaluru,Dakshina Kannada,Tempora incidunt fugit praesentium fugit aut magni numquam et error deserunt.,915521
CASE000677,FIR2026000677,Domestic Violence,ST0076,OFF00169,Open,Medium,2024-04-20,2024-04-18,Mangaluru,Mysuru,Totam ea neque cum veritatis veritatis vero vel quas.,840393
CASE000678,FIR2026000678,Murder,ST0042,OFF00143,Open,Low,2023-07-21,2023-02-03,Ballari,Dharwad,Adipisci consequatur architecto eos quo nisi autem possimus rerum omnis doloremque laboriosam amet.,651426
CASE000679,FIR2026000679,Chain Snatching,ST0003,OFF00316,Closed,Medium,2025-06-27,2024-12-17,Ballari,Dakshina Kannada,Pariatur velit vero similique neque eius dolores.,75014
CASE000680,FIR2026000680,Domestic Violence,ST0001,OFF00366,Open,Medium,2025-05-08,2024-10-13,Bengaluru,Mysuru,Deserunt sed occaecati blanditiis impedit autem ea iste maiores dolores facilis aspernatur soluta a blanditiis dolorem.,566561
CASE000681,FIR2026000681,Missing Person,ST0033,OFF00282,Under Investigation,High,2024-12-02,2024-03-06,Bengaluru,Shivamogga,Aspernatur rerum inventore debitis reprehenderit quae eaque ex minus possimus quisquam dolor.,410955
CASE000682,FIR2026000682,Chain Snatching,ST0026,OFF00356,Under Investigation,Medium,2024-05-24,2023-11-03,Bengaluru,Bengaluru Urban,Minus illum quis officia officia ducimus fuga et aperiam quam earum.,465987
CASE000683,FIR2026000683,Kidnapping,ST0095,OFF00297,Under Investigation,Low,2025-09-05,2024-03-01,Belagavi,Tumakuru,Nihil cumque quas voluptatibus nihil quod totam maxime aut qui harum nostrum.,778365
CASE000684,FIR2026000684,Cyber Fraud,ST0069,OFF00249,Open,High,2024-07-04,2024-11-24,Ballari,Dharwad,Quibusdam velit quos est inventore placeat error sunt veniam molestias.,636531
CASE000685,FIR2026000685,Domestic Violence,ST0056,OFF00023,Under Investigation,Critical,2026-06-21,2024-01-20,Mysuru,Belagavi,Voluptates ipsam reprehenderit ea voluptatibus eveniet quod fuga sit debitis reiciendis.,348500
CASE000686,FIR2026000686,Identity Theft,ST0041,OFF00385,Under Investigation,Medium,2023-09-08,2025-09-15,Bengaluru,Ballari,Odit quod eos iste quos tempore odit tenetur ab dolor similique repellendus consectetur dicta quas.,266178
CASE000687,FIR2026000687,Assault,ST0026,OFF00018,Under Investigation,Critical,2025-07-18,2025-08-23,Belagavi,Mysuru,Vel perferendis accusamus tempore magni saepe magni.,658771
CASE000688,FIR2026000688,Vehicle Theft,ST0041,OFF00117,Open,High,2024-09-15,2026-02-16,Belagavi,Bengaluru Urban,Corporis laudantium velit numquam quas at voluptas modi officia officia ratione unde nobis.,595880
CASE000689,FIR2026000689,Burglary,ST0078,OFF00069,Open,Critical,2025-06-05,2025-10-19,Mysuru,Mysuru,Fugiat quas aliquid officia repellendus porro quae neque aperiam atque voluptas.,599744
CASE000690,FIR2026000690,Mobile Theft,ST0066,OFF00173,Under Investigation,Medium,2025-11-30,2023-09-15,Belagavi,Ballari,Ratione aperiam odit est itaque vitae vel at commodi debitis ipsam.,41566
CASE000691,FIR2026000691,Assault,ST0012,OFF00029,Open,Medium,2024-01-09,2023-02-08,Tumakuru,Shivamogga,Natus ullam quis autem labore autem fugit incidunt inventore a quas.,745305
CASE000692,FIR2026000692,Cyber Fraud,ST0059,OFF00495,Open,Critical,2024-11-13,2023-05-16,Mangaluru,Belagavi,Rerum eligendi nihil aperiam ipsam molestiae consequatur incidunt odio mollitia excepturi est amet at.,382976
CASE000693,FIR2026000693,Burglary,ST0052,OFF00438,Pending,Critical,2024-10-25,2026-04-11,Ballari,Dharwad,Delectus reprehenderit sed eius assumenda reprehenderit qui aliquid enim aperiam voluptas.,457210
CASE000694,FIR2026000694,Cyber Fraud,ST0013,OFF00424,Under Investigation,Critical,2025-01-18,2023-02-19,Bengaluru,Dharwad,Esse suscipit eos labore culpa nesciunt dolores sint dolores occaecati velit doloremque consectetur.,845344
CASE000695,FIR2026000695,Chain Snatching,ST0028,OFF00289,Open,Medium,2025-03-05,2023-05-28,Tumakuru,Tumakuru,Tenetur exercitationem molestiae quae cumque dignissimos eius laboriosam facere laudantium eveniet mollitia.,550601
CASE000696,FIR2026000696,Murder,ST0035,OFF00070,Pending,High,2024-07-25,2024-04-29,Shivamogga,Ballari,Aliquid perferendis iusto eaque facere ullam fuga rerum alias magnam atque sint eaque ducimus reiciendis iure.,753188
CASE000697,FIR2026000697,Domestic Violence,ST0015,OFF00182,Open,High,2024-02-03,2024-05-14,Tumakuru,Dharwad,Qui nobis corporis doloribus error eaque officia ex esse velit libero.,643041
CASE000698,FIR2026000698,Missing Person,ST0031,OFF00454,Closed,High,2023-07-15,2025-12-03,Bengaluru,Dakshina Kannada,Eos iusto reprehenderit fuga fugit consequuntur architecto.,493915
CASE000699,FIR2026000699,Murder,ST0077,OFF00347,Closed,Critical,2025-04-23,2023-11-25,Shivamogga,Ballari,Dicta dolor eaque exercitationem delectus ab repellat nisi earum.,604049
CASE000700,FIR2026000700,Missing Person,ST0057,OFF00394,Closed,Low,2025-10-17,2023-04-30,Shivamogga,Ballari,Expedita vel deleniti facere perspiciatis corporis ex minima dolorum pariatur porro non modi beatae.,557413
CASE000701,FIR2026000701,Kidnapping,ST0078,OFF00413,Under Investigation,Medium,2025-03-19,2023-02-13,Tumakuru,Bengaluru Urban,Quae quidem ex vitae inventore quas cumque explicabo sunt ex doloremque.,733092
CASE000702,FIR2026000702,Assault,ST0009,OFF00317,Pending,Critical,2024-11-27,2024-08-15,Ballari,Belagavi,Amet assumenda amet rem praesentium consequatur nisi.,85717
CASE000703,FIR2026000703,Online Scam,ST0064,OFF00059,Open,Medium,2026-05-08,2023-06-13,Belagavi,Bengaluru Urban,Dolor deleniti laborum quis esse illum totam aliquid deleniti.,194754
CASE000704,FIR2026000704,Burglary,ST0027,OFF00485,Pending,Medium,2023-11-13,2024-02-03,Ballari,Ballari,Nostrum beatae cupiditate fugit cum amet minima ipsam quia molestiae molestiae.,356341
CASE000705,FIR2026000705,Assault,ST0064,OFF00168,Open,Medium,2024-12-03,2025-07-21,Mysuru,Belagavi,Nihil nisi aspernatur architecto incidunt repellendus incidunt amet explicabo.,357445
CASE000706,FIR2026000706,Assault,ST0020,OFF00072,Closed,High,2024-04-01,2025-06-13,Bengaluru,Ballari,Fuga odit perferendis repellendus sint blanditiis possimus beatae modi nobis sapiente rem.,404674
CASE000707,FIR2026000707,Missing Person,ST0001,OFF00273,Pending,Medium,2025-02-22,2023-08-17,Belagavi,Bengaluru Urban,Iste placeat iure fugiat laudantium commodi perferendis nisi nihil ratione totam magnam alias est distinctio.,814950
CASE000708,FIR2026000708,Chain Snatching,ST0011,OFF00202,Closed,Critical,2024-08-22,2023-09-16,Tumakuru,Tumakuru,Voluptatum iusto omnis a nihil architecto repellat fugiat.,882121
CASE000709,FIR2026000709,Kidnapping,ST0021,OFF00203,Under Investigation,Low,2023-09-03,2025-06-16,Hubballi,Dharwad,Atque non amet asperiores autem pariatur architecto ipsam ut saepe amet.,566554
CASE000710,FIR2026000710,Assault,ST0006,OFF00459,Under Investigation,Medium,2025-05-07,2024-08-22,Bengaluru,Shivamogga,Voluptate facere dolorem autem consectetur possimus vitae doloribus at iusto dolorum.,822125
CASE000711,FIR2026000711,Murder,ST0050,OFF00343,Pending,Medium,2025-01-04,2024-01-03,Mangaluru,Tumakuru,Illum quibusdam at praesentium quidem dolores quia quo odit consequuntur.,974579
CASE000712,FIR2026000712,Drug Trafficking,ST0048,OFF00232,Under Investigation,Critical,2025-05-18,2023-05-21,Mysuru,Ballari,Reprehenderit culpa expedita aut ad occaecati neque ut quaerat officia magnam est minima numquam.,404125
CASE000713,FIR2026000713,Chain Snatching,ST0084,OFF00128,Closed,Medium,2026-01-12,2024-08-26,Shivamogga,Dakshina Kannada,Corporis quae eligendi tempora nulla consequatur optio distinctio doloremque labore esse accusantium fuga dolore.,275705
CASE000714,FIR2026000714,Cyber Fraud,ST0012,OFF00182,Open,Low,2024-07-01,2026-01-31,Belagavi,Tumakuru,Praesentium tenetur inventore nemo dolorum fugiat officia itaque architecto fugit deleniti pariatur consectetur perferendis.,955518
CASE000715,FIR2026000715,Murder,ST0094,OFF00351,Under Investigation,Critical,2025-03-01,2023-03-31,Ballari,Shivamogga,Nihil alias sequi ipsum deleniti eligendi quas voluptatum iure debitis.,925846
CASE000716,FIR2026000716,Murder,ST0043,OFF00177,Open,Medium,2024-10-13,2023-11-24,Mysuru,Tumakuru,Officia molestiae aspernatur qui odio sit quae.,760276
CASE000717,FIR2026000717,Mobile Theft,ST0034,OFF00397,Open,Medium,2024-02-04,2026-01-11,Ballari,Ballari,Esse ab iusto in occaecati cum repellat doloremque dolorum.,945345
CASE000718,FIR2026000718,Burglary,ST0065,OFF00053,Open,High,2025-09-08,2025-06-09,Belagavi,Dharwad,Commodi nesciunt necessitatibus dolore praesentium recusandae doloremque deleniti perferendis quas.,89289
CASE000719,FIR2026000719,Burglary,ST0044,OFF00161,Open,High,2025-10-20,2024-11-20,Tumakuru,Shivamogga,Facilis accusantium eum possimus mollitia a nam officia amet.,551530
CASE000720,FIR2026000720,Missing Person,ST0099,OFF00240,Pending,Medium,2024-01-09,2024-12-12,Belagavi,Dakshina Kannada,Quae minus minima officia repellat assumenda itaque neque dolorem quasi voluptatibus a voluptatum adipisci.,941467
CASE000721,FIR2026000721,Vehicle Theft,ST0089,OFF00296,Pending,Critical,2024-07-30,2026-01-29,Mangaluru,Mysuru,Quod voluptates deserunt voluptatum velit magnam exercitationem suscipit similique expedita itaque quos laboriosam.,859751
CASE000722,FIR2026000722,Missing Person,ST0034,OFF00231,Pending,High,2026-05-25,2025-10-25,Ballari,Shivamogga,Quod doloribus placeat quo quaerat repellendus voluptatem consectetur sint nemo illo at.,636069
CASE000723,FIR2026000723,Chain Snatching,ST0024,OFF00316,Under Investigation,High,2024-04-17,2025-04-06,Mangaluru,Shivamogga,Modi veniam rem tempore placeat dignissimos ratione et iure quisquam animi totam minus fugit nostrum.,616055
CASE000724,FIR2026000724,Online Scam,ST0080,OFF00485,Open,Medium,2024-09-22,2023-01-12,Bengaluru,Dharwad,Culpa ea dolorum quos suscipit eaque quidem sequi voluptatum minima atque sapiente corporis expedita necessitatibus.,408300
CASE000725,FIR2026000725,Cyber Fraud,ST0065,OFF00454,Closed,Medium,2026-04-12,2024-03-20,Bengaluru,Belagavi,Inventore eos beatae natus provident ullam accusamus earum sunt cumque molestiae debitis earum inventore dolorem.,36491
CASE000726,FIR2026000726,Drug Trafficking,ST0049,OFF00186,Open,High,2023-11-22,2023-08-23,Hubballi,Belagavi,Eaque maiores nisi qui nobis minus ullam iusto harum soluta sapiente incidunt possimus.,431045
CASE000727,FIR2026000727,Assault,ST0035,OFF00449,Pending,Low,2023-10-22,2025-08-23,Shivamogga,Ballari,Hic minus rerum illo labore deleniti officiis aperiam sed similique.,470986
CASE000728,FIR2026000728,Identity Theft,ST0069,OFF00004,Open,Critical,2024-11-17,2025-12-28,Mysuru,Ballari,Mollitia voluptatem deserunt facere ea sequi magnam id deserunt a odit illo cumque eaque.,788159
CASE000729,FIR2026000729,Missing Person,ST0025,OFF00058,Under Investigation,High,2025-07-28,2026-02-15,Hubballi,Mysuru,Dolorem quod exercitationem vitae doloremque laborum magnam voluptate iusto velit dignissimos.,548835
CASE000730,FIR2026000730,Domestic Violence,ST0036,OFF00018,Under Investigation,Medium,2023-07-15,2024-07-17,Ballari,Mysuru,Vero fugit maiores quisquam sint sapiente impedit eum autem corporis ea odio.,607559
CASE000731,FIR2026000731,Kidnapping,ST0029,OFF00242,Open,Critical,2024-02-14,2024-08-14,Bengaluru,Tumakuru,Omnis eaque asperiores qui delectus enim ex eaque alias minus ex eaque a adipisci.,916912
CASE000732,FIR2026000732,Cyber Fraud,ST0047,OFF00397,Under Investigation,Low,2024-03-23,2023-08-16,Belagavi,Dharwad,Consequatur magni placeat nam eveniet veniam minus sunt nobis aperiam quidem ducimus nulla quisquam excepturi placeat.,521829
CASE000733,FIR2026000733,Drug Trafficking,ST0050,OFF00239,Under Investigation,Critical,2025-08-28,2023-11-17,Shivamogga,Belagavi,Provident eaque rerum saepe autem nam cumque iure expedita beatae quod.,204726
CASE000734,FIR2026000734,Missing Person,ST0022,OFF00113,Open,High,2025-02-27,2023-08-01,Ballari,Dakshina Kannada,Quo reiciendis omnis accusantium iusto sequi dolor ad.,798360
CASE000735,FIR2026000735,Burglary,ST0035,OFF00404,Pending,High,2025-09-07,2025-05-27,Bengaluru,Shivamogga,Occaecati odio facere nihil modi temporibus hic a nemo qui eligendi.,356243
CASE000736,FIR2026000736,Murder,ST0058,OFF00286,Open,Critical,2025-05-07,2025-12-03,Shivamogga,Tumakuru,Sequi cupiditate error pariatur saepe natus minus quaerat perspiciatis itaque.,370451
CASE000737,FIR2026000737,Identity Theft,ST0068,OFF00391,Pending,Medium,2025-01-19,2023-08-21,Belagavi,Belagavi,Porro voluptatem error autem quia recusandae natus odio recusandae dolorum dolorem ipsam.,449852
CASE000738,FIR2026000738,Drug Trafficking,ST0074,OFF00181,Open,High,2024-01-06,2023-02-20,Tumakuru,Mysuru,Nemo fugiat aliquam porro corrupti voluptatibus earum mollitia dolore ab sint.,341116
CASE000739,FIR2026000739,Vehicle Theft,ST0013,OFF00296,Under Investigation,Medium,2024-03-09,2023-02-20,Mangaluru,Dharwad,Consequuntur quas itaque pariatur placeat velit incidunt similique accusamus laudantium cupiditate alias itaque nobis quod beatae.,940291
CASE000740,FIR2026000740,Online Scam,ST0094,OFF00379,Closed,High,2024-06-01,2024-05-30,Bengaluru,Dharwad,Rerum odit rerum consequuntur doloremque distinctio reiciendis magnam quidem odio deleniti illo.,163213
CASE000741,FIR2026000741,Online Scam,ST0077,OFF00102,Under Investigation,High,2025-11-19,2023-12-23,Tumakuru,Dakshina Kannada,Tempore minus adipisci doloremque consequatur perspiciatis perferendis excepturi illum veniam tempora eum asperiores.,263768
CASE000742,FIR2026000742,Drug Trafficking,ST0071,OFF00196,Closed,Medium,2023-10-14,2023-10-22,Tumakuru,Dakshina Kannada,Ipsa neque aspernatur enim ratione debitis adipisci animi earum repellat deleniti quasi illum iusto necessitatibus dolorem.,526636
CASE000743,FIR2026000743,Online Scam,ST0070,OFF00089,Pending,Low,2026-07-11,2025-07-03,Bengaluru,Dharwad,Veniam repudiandae magnam labore harum praesentium distinctio quibusdam libero rerum itaque.,96759
CASE000744,FIR2026000744,Chain Snatching,ST0069,OFF00084,Pending,Critical,2023-12-20,2024-01-07,Shivamogga,Shivamogga,Error nostrum atque facere suscipit aspernatur earum adipisci dolor illo eum fugiat ratione quas vero reprehenderit.,9109
CASE000745,FIR2026000745,Cyber Fraud,ST0002,OFF00043,Pending,Low,2024-09-07,2025-02-20,Bengaluru,Bengaluru Urban,Tempore numquam maxime in adipisci nostrum ratione sint repellat illum eos quaerat quo odit quas quasi.,414272
CASE000746,FIR2026000746,Burglary,ST0097,OFF00230,Under Investigation,Medium,2026-02-11,2024-08-16,Belagavi,Mysuru,Blanditiis debitis id quasi fuga nihil aut at ut ullam sint doloribus facere quos.,202074
CASE000747,FIR2026000747,Drug Trafficking,ST0033,OFF00171,Open,Critical,2026-01-04,2023-07-17,Mysuru,Dharwad,Error cum unde neque tempore nostrum ipsam alias impedit ea quidem accusamus odit.,857062
CASE000748,FIR2026000748,Drug Trafficking,ST0017,OFF00226,Closed,Critical,2025-06-28,2024-01-11,Hubballi,Tumakuru,Quae repellat consequatur earum accusamus numquam voluptatibus rem numquam maxime soluta voluptate aliquam.,910531
CASE000749,FIR2026000749,Missing Person,ST0024,OFF00284,Pending,Low,2024-08-05,2024-03-19,Shivamogga,Dakshina Kannada,Libero sed magnam mollitia neque reiciendis quis recusandae.,372749
CASE000750,FIR2026000750,Kidnapping,ST0006,OFF00354,Open,High,2024-06-12,2024-12-27,Mangaluru,Dharwad,Perspiciatis reiciendis maxime natus esse laborum ullam tenetur quo quos voluptate.,54910
CASE000751,FIR2026000751,Missing Person,ST0042,OFF00260,Closed,High,2024-12-22,2024-09-20,Ballari,Dharwad,Impedit illo sed maiores tempora numquam temporibus earum minus dolorum aliquid.,340004
CASE000752,FIR2026000752,Cyber Fraud,ST0083,OFF00172,Pending,High,2025-10-15,2023-12-25,Bengaluru,Dakshina Kannada,Natus itaque magnam reprehenderit impedit libero sequi quod sit hic saepe.,565943
CASE000753,FIR2026000753,Domestic Violence,ST0079,OFF00093,Closed,Low,2024-01-30,2023-09-09,Belagavi,Dakshina Kannada,Quia ab nulla labore nam fugit nam animi delectus voluptatem consequuntur nihil temporibus incidunt ullam.,666701
CASE000754,FIR2026000754,Vehicle Theft,ST0041,OFF00055,Closed,Medium,2023-12-09,2025-08-16,Bengaluru,Mysuru,Esse numquam possimus impedit fugit officiis ut eaque excepturi nulla nesciunt molestiae at atque est.,405094
CASE000755,FIR2026000755,Vehicle Theft,ST0017,OFF00467,Open,Low,2026-04-15,2026-03-27,Hubballi,Bengaluru Urban,Itaque magni fuga placeat et molestias nesciunt blanditiis error.,424799
CASE000756,FIR2026000756,Chain Snatching,ST0021,OFF00267,Pending,Low,2023-11-10,2023-05-06,Hubballi,Belagavi,Cumque dolorum sed porro natus ipsam ducimus at quisquam alias aliquam explicabo.,969320
CASE000757,FIR2026000757,Mobile Theft,ST0037,OFF00021,Under Investigation,High,2025-11-22,2025-10-13,Ballari,Belagavi,Quo quasi voluptatum sequi eum eos soluta repellendus ullam molestias possimus aspernatur.,214025
CASE000758,FIR2026000758,Kidnapping,ST0055,OFF00389,Pending,Critical,2025-07-08,2024-11-11,Bengaluru,Tumakuru,Maiores exercitationem ullam atque ex debitis maiores tempore corrupti id mollitia.,535020
CASE000759,FIR2026000759,Domestic Violence,ST0072,OFF00305,Under Investigation,High,2023-12-04,2025-05-23,Bengaluru,Dharwad,Quos earum voluptas sapiente quasi repellat culpa non quasi reprehenderit.,632064
CASE000760,FIR2026000760,Murder,ST0005,OFF00406,Closed,Low,2025-06-01,2024-06-15,Mysuru,Dharwad,Eum officia doloremque maiores culpa dolorum omnis distinctio autem.,934735
CASE000761,FIR2026000761,Drug Trafficking,ST0089,OFF00189,Open,High,2025-02-16,2025-04-17,Mangaluru,Belagavi,Earum accusantium aperiam esse maxime consequuntur minus eum nisi incidunt voluptatem.,420436
CASE000762,FIR2026000762,Vehicle Theft,ST0027,OFF00427,Pending,Low,2026-01-25,2023-02-17,Belagavi,Tumakuru,Illo nobis illo ut aut reprehenderit officia perferendis nesciunt ex veritatis magni similique ipsa natus.,978060
CASE000763,FIR2026000763,Murder,ST0047,OFF00151,Closed,Low,2025-04-27,2025-07-25,Tumakuru,Mysuru,Totam quas vero tempore dolorum asperiores labore voluptates deleniti non quibusdam.,401656
CASE000764,FIR2026000764,Chain Snatching,ST0032,OFF00303,Under Investigation,Critical,2024-08-02,2026-03-15,Shivamogga,Tumakuru,Dolore sed sapiente odit nobis dolor occaecati mollitia.,559975
CASE000765,FIR2026000765,ATM Fraud,ST0040,OFF00040,Open,Low,2025-04-18,2024-12-10,Tumakuru,Dharwad,Molestias unde molestiae at natus ratione provident quidem.,101632
CASE000766,FIR2026000766,Kidnapping,ST0040,OFF00394,Under Investigation,Low,2023-10-21,2025-11-25,Hubballi,Shivamogga,Aut dolore debitis ratione facere inventore sequi fuga laborum quidem cum quibusdam.,744925
CASE000767,FIR2026000767,Drug Trafficking,ST0026,OFF00082,Under Investigation,Low,2025-09-07,2024-08-04,Bengaluru,Shivamogga,Corrupti perferendis occaecati delectus eos natus dolorem ipsum non quasi.,448384
CASE000768,FIR2026000768,Burglary,ST0038,OFF00024,Closed,Medium,2023-12-08,2024-03-29,Hubballi,Dharwad,Accusantium repellat id adipisci voluptatibus ipsa minima ipsum.,792452
CASE000769,FIR2026000769,Murder,ST0009,OFF00470,Closed,High,2026-06-27,2023-02-03,Ballari,Ballari,Asperiores eligendi veniam ex perspiciatis harum enim.,300184
CASE000770,FIR2026000770,ATM Fraud,ST0044,OFF00140,Under Investigation,Critical,2024-11-08,2023-08-05,Mangaluru,Bengaluru Urban,Aut assumenda fugiat porro iusto animi eveniet minima corrupti.,1123
CASE000771,FIR2026000771,Mobile Theft,ST0052,OFF00033,Pending,Low,2024-07-25,2025-09-15,Belagavi,Belagavi,Facilis harum distinctio iste magnam nulla placeat suscipit eligendi ratione.,488061
CASE000772,FIR2026000772,Assault,ST0086,OFF00080,Under Investigation,High,2025-10-09,2025-11-18,Mangaluru,Tumakuru,Dicta earum occaecati vitae possimus incidunt neque totam temporibus.,168778
CASE000773,FIR2026000773,UPI Fraud,ST0087,OFF00090,Open,Low,2024-01-26,2023-11-10,Tumakuru,Ballari,Dolor nam nulla voluptatibus adipisci eligendi facilis assumenda quasi reiciendis nesciunt neque totam nisi iusto nihil.,601654
CASE000774,FIR2026000774,Cyber Fraud,ST0082,OFF00460,Pending,Critical,2026-03-11,2024-04-18,Belagavi,Shivamogga,Sapiente esse blanditiis unde ut quae debitis rerum nemo atque impedit perferendis eaque iste.,585342
CASE000775,FIR2026000775,ATM Fraud,ST0018,OFF00095,Closed,High,2023-10-20,2025-09-29,Belagavi,Tumakuru,Impedit velit animi inventore voluptates esse quam atque laboriosam officiis enim esse deleniti.,594459
CASE000776,FIR2026000776,Online Scam,ST0094,OFF00277,Open,Critical,2025-09-20,2024-12-24,Shivamogga,Shivamogga,Et repellat ab adipisci alias cumque autem laboriosam.,552025
CASE000777,FIR2026000777,Cyber Fraud,ST0032,OFF00107,Closed,Critical,2024-09-23,2026-03-21,Shivamogga,Dharwad,Adipisci similique est odio at alias itaque minima eos repellendus.,72055
CASE000778,FIR2026000778,Kidnapping,ST0038,OFF00222,Open,Medium,2025-05-20,2025-12-10,Mangaluru,Ballari,Omnis officiis explicabo fuga et praesentium quod reprehenderit sed veniam voluptatibus.,692613
CASE000779,FIR2026000779,Kidnapping,ST0076,OFF00416,Pending,Critical,2024-08-11,2025-08-02,Hubballi,Mysuru,Perferendis modi aut quidem dolor itaque beatae.,454183
CASE000780,FIR2026000780,Chain Snatching,ST0041,OFF00134,Pending,Critical,2025-09-26,2023-02-18,Mangaluru,Shivamogga,Suscipit vero dolor ratione ipsa molestiae possimus dolores.,86726
CASE000781,FIR2026000781,Missing Person,ST0003,OFF00160,Under Investigation,High,2023-09-15,2025-12-13,Belagavi,Tumakuru,Consequuntur totam assumenda atque dolore adipisci optio fugit tempore id amet numquam.,553451
CASE000782,FIR2026000782,UPI Fraud,ST0044,OFF00115,Under Investigation,Critical,2023-08-16,2026-03-10,Mangaluru,Belagavi,Neque placeat ea nemo sit veniam culpa.,540021
CASE000783,FIR2026000783,Assault,ST0008,OFF00035,Pending,Critical,2025-10-13,2024-11-16,Bengaluru,Bengaluru Urban,Quas ipsa nesciunt eius omnis praesentium ad dolorem perferendis.,189466
CASE000784,FIR2026000784,Chain Snatching,ST0086,OFF00474,Closed,Medium,2024-10-08,2025-01-17,Ballari,Shivamogga,Nemo atque rerum recusandae voluptas debitis perferendis.,463227
CASE000785,FIR2026000785,Drug Trafficking,ST0060,OFF00493,Open,Low,2024-04-04,2025-12-28,Hubballi,Bengaluru Urban,Deserunt alias harum eum quas saepe expedita magni.,624566
CASE000786,FIR2026000786,Identity Theft,ST0040,OFF00470,Closed,High,2026-05-18,2023-12-26,Mangaluru,Ballari,Numquam porro dolor optio vero eveniet nam explicabo blanditiis iusto temporibus.,445215
CASE000787,FIR2026000787,Domestic Violence,ST0094,OFF00159,Open,Critical,2023-09-22,2023-03-04,Mangaluru,Bengaluru Urban,Ea ipsa doloremque nesciunt reprehenderit dolores sed molestias.,870871
CASE000788,FIR2026000788,Kidnapping,ST0075,OFF00396,Pending,Low,2025-07-29,2024-07-22,Mangaluru,Dharwad,Quis eum quam maxime quasi cupiditate ut.,36081
CASE000789,FIR2026000789,Missing Person,ST0072,OFF00187,Pending,Medium,2026-02-22,2024-05-18,Ballari,Belagavi,Qui ipsa veniam et debitis ipsam maiores ad deserunt aspernatur velit libero.,804449
CASE000790,FIR2026000790,ATM Fraud,ST0067,OFF00474,Pending,Low,2025-09-15,2023-07-31,Mysuru,Ballari,Repellendus dolorum similique iure dolores ipsam voluptatem soluta deserunt omnis soluta inventore.,142558
CASE000791,FIR2026000791,Murder,ST0067,OFF00477,Under Investigation,Medium,2026-07-02,2026-02-15,Bengaluru,Tumakuru,Minima vel aut magnam architecto corporis sit unde fugit labore.,250838
CASE000792,FIR2026000792,ATM Fraud,ST0060,OFF00112,Under Investigation,Critical,2025-12-15,2025-09-19,Mysuru,Dakshina Kannada,Minus ipsam architecto commodi rem nisi libero odio sapiente debitis dolorem id.,904006
CASE000793,FIR2026000793,Chain Snatching,ST0098,OFF00264,Open,Medium,2023-11-10,2026-04-12,Tumakuru,Dakshina Kannada,Facilis alias excepturi necessitatibus sit officia odio debitis.,625037
CASE000794,FIR2026000794,Domestic Violence,ST0014,OFF00115,Pending,Critical,2025-07-02,2024-08-07,Shivamogga,Bengaluru Urban,Excepturi aliquid quae eius veritatis ex nobis eum ea odio odit possimus accusantium nobis neque.,914875
CASE000795,FIR2026000795,Vehicle Theft,ST0090,OFF00207,Closed,Critical,2024-05-25,2024-04-17,Belagavi,Ballari,Occaecati modi exercitationem laudantium enim laboriosam aspernatur dolor itaque officiis reprehenderit magni.,782633
CASE000796,FIR2026000796,Missing Person,ST0044,OFF00098,Open,High,2025-04-20,2025-10-26,Shivamogga,Mysuru,Perspiciatis quidem tempore doloremque hic velit sit.,628858
CASE000797,FIR2026000797,Identity Theft,ST0009,OFF00027,Closed,Medium,2025-12-05,2023-10-31,Ballari,Belagavi,Porro voluptas laborum inventore consequatur ea placeat soluta maxime qui voluptas est.,504165
CASE000798,FIR2026000798,Identity Theft,ST0002,OFF00022,Under Investigation,Medium,2026-02-27,2024-07-13,Belagavi,Tumakuru,Sed perferendis ratione optio in enim quis ducimus error error libero quidem laboriosam sapiente.,771034
