relationship_id,citizen_1,citizen_2,relationship_type
REL001177,CID002150,CID005702,Associate
REL001178,CID006831,CID009950,Gang Member
REL001179,CID008156,CID006360,Same Vehicle
REL001180,CID003704,CID006938,Business Partner
REL001181,CID002148,CID001258,Gang Member
REL001182,CID002253,CID005001,Business Partner
REL001183,CID005005,CID003893,Business Partner
REL001184,CID004162,CID001342,Money Transfer
REL001185,CID005897,CID003090,Same Bank Account
REL001186,CID008652,CID004988,Money Transfer
REL001187,CID005499,CID000009,Money Transfer
REL001188,CID001224,CID000680,Same Phone
REL001189,CID001800,CID006393,Same Bank Account
REL001190,CID006423,CID000077,Business Partner
REL001191,CID008450,CID008099,Money Transfer
REL001192,CID000413,CID002580,Same Phone
REL001193,CID008664,CID003866,Friend
REL001194,CID009482,CID008530,Brother
REL001195,CID006171,CID004298,Friend
REL001196,CID000459,CID008961,Friend
REL001197,CID007853,CID001072,Money Transfer
REL001198,CID005520,CID007654,Associate
REL001199,CID008196,CID009854,Associate
REL001200,CID002556,CID009191,Business Partner
REL001201,CID005306,CID006247,Same Bank Account
REL001202,CID006483,CID007325,Same Phone
REL001203,CID006668,CID009729,Same Bank Account
REL001204,CID006966,CID009624,Friend
REL001205,CID001564,CID009874,Associate
REL001206,CID002822,CID004417,Brother
REL001207,CID001496,CID008117,Friend
REL001208,CID009430,CID009069,Same Bank Account
REL001209,CID006198,CID004673,Associate
REL001210,CID004640,CID004314,Gang Member
REL001211,CID000969,CID003835,Brother
REL001212,CID000998,CID001681,Friend
REL001213,CID009513,CID003642,Money Transfer
REL001214,CID004204,CID002248,Same Vehicle
REL001215,CID000256,CID008091,Brother
REL001216,CID003171,CID004598,Associate
REL001217,CID003568,CID001971,Same Bank Account
REL001218,CID009594,CID004472,Friend
REL001219,CID003505,CID002320,Same Bank Account
REL001220,CID008779,CID009401,Friend
REL001221,CID002370,CID003198,Friend
REL001222,CID006621,CID002473,Same Bank Account
REL001223,CID003893,CID009145,Associate
REL001224,CID003806,CID000979,Brother
REL001225,CID007378,CID009710,Same Phone
REL001226,CID002421,CID004019,Same Vehicle
REL001227,CID003008,CID002411,Money Transfer
REL001228,CID007775,CID008082,Associate
REL001229,CID008975,CID008107,Friend
REL001230,CID009412,CID003277,Friend
REL001231,CID001767,CID008095,Friend
REL001232,CID002028,CID003267,Associate
REL001233,CID007385,CID000479,Associate
REL001234,CID003218,CID009813,Same Bank Account
REL001235,CID009438,CID004787,Associate
REL001236,CID007154,CID001671,Friend
REL001237,CID002078,CID001416,Money Transfer
REL001238,CID005153,CID002038,Same Vehicle
REL001239,CID003277,CID004371,Gang Member
REL001240,CID007145,CID004122,Same Phone
REL001241,CID006215,CID000597,Associate
REL001242,CID001448,CID007998,Same Bank Account
REL001243,CID009173,CID000290,Business Partner
REL001244,CID008368,CID001882,Same Bank Account
REL001245,CID000640,CID001095,Friend
REL001246,CID008670,CID008911,Same Bank Account
REL001247,CID006732,CID002945,Associate
REL001248,CID004476,CID000795,Business Partner
REL001249,CID004626,CID005312,Same Bank Account
REL001250,CID009068,CID006803,Money Transfer
REL001251,CID005399,CID008133,Same Phone
REL001252,CID002679,CID001455,Business Partner
REL001253,CID000146,CID008625,Friend
REL001254,CID009725,CID007423,Same Phone
REL001255,CID009327,CID002477,Same Vehicle
REL001256,CID007578,CID007844,Same Vehicle
REL001257,CID008450,CID006199,Gang Member
REL001258,CID004023,CID004275,Brother
REL001259,CID001681,CID007026,Gang Member
REL001260,CID000913,CID005905,Business Partner
REL001261,CID003157,CID008968,Money Transfer
REL001262,CID007176,CID005124,Associate
REL001263,CID007035,CID001281,Associate
REL001264,CID006734,CID003647,Gang Member
REL001265,CID003916,CID007350,Business Partner
REL001266,CID007035,CID000310,Associate
REL001267,CID002341,CID005926,Same Phone
REL001268,CID002960,CID003960,Brother
REL001269,CID007210,CID002696,Business Partner
REL001270,CID002267,CID003213,Associate
REL001271,CID002608,CID001502,Same Bank Account
REL001272,CID000720,CID002663,Same Bank Account
REL001273,CID002872,CID004722,Brother
REL001274,CID006131,CID001932,Same Bank Account
REL001275,CID004494,CID009355,Money Transfer
REL001276,CID006708,CID000739,Gang Member
REL001277,CID000839,CID000650,Business Partner
REL001278,CID004034,CID004054,Associate
REL001279,CID006952,CID000311,Same Bank Account
REL001280,CID008086,CID001045,Same Bank Account
REL001281,CID008778,CID006812,Money Transfer
REL001282,CID009789,CID001142,Gang Member
REL001283,CID001285,CID002125,Same Phone
REL001284,CID006223,CID000673,Same Bank Account
REL001285,CID004814,CID008907,Same Bank Account
REL001286,CID004963,CID004456,Money Transfer
REL001287,CID003758,CID005994,Same Bank Account
REL001288,CID008256,CID007937,Same Vehicle
REL001289,CID007873,CID000705,Associate
REL001290,CID002454,CID008430,Associate
REL001291,CID004856,CID009194,Gang Member
REL001292,CID003486,CID003586,Money Transfer
REL001293,CID004006,CID003717,Same Vehicle
REL001294,CID009089,CID002666,Same Vehicle
REL001295,CID008966,CID006269,Associate
REL001296,CID008914,CID006842,Money Transfer
REL001297,CID006055,CID007254,Brother
REL001298,CID009713,CID007855,Same Phone
REL001299,CID004511,CID003517,Gang Member
REL001300,CID004725,CID005913,Money Transfer
REL001301,CID002939,CID002917,Same Bank Account
REL001302,CID005720,CID008387,Same Bank Account
REL001303,CID005363,CID000715,Same Phone
REL001304,CID002562,CID001693,Same Bank Account
REL001305,CID002545,CID008378,Business Partner
REL001306,CID002474,CID001170,Same Vehicle
REL001307,CID003318,CID007611,Same Vehicle
REL001308,CID008459,CID000936,Same Bank Account
REL001309,CID006219,CID005229,Associate
REL001310,CID007245,CID002745,Same Vehicle
REL001311,CID001456,CID006466,Business Partner
REL001312,CID009758,CID005515,Business Partner
REL001313,CID004254,CID000107,Same Bank Account
REL001314,CID009032,CID005098,Brother
REL001315,CID002122,CID003748,Same Vehicle
REL001316,CID008142,CID005485,Friend
REL001317,CID000262,CID001937,Same Phone
REL001318,CID005405,CID001114,Associate
REL001319,CID006971,CID000750,Gang Member
REL001320,CID009716,CID000099,Gang Member
REL001321,CID001631,CID003424,Brother
REL001322,CID009642,CID005718,Same Phone
REL001323,CID008423,CID008547,Money Transfer
REL001324,CID002930,CID007209,Same Phone
REL001325,CID009535,CID007914,Same Phone
REL001326,CID007982,CID008109,Associate
REL001327,CID003680,CID007564,Business Partner
REL001328,CID000172,CID006894,Same Phone
REL001329,CID000162,CID009622,Same Bank Account
REL001330,CID007949,CID006907,Same Bank Account
REL001331,CID006139,CID008517,Friend
REL001332,CID000919,CID004068,Same Vehicle
REL001333,CID004217,CID006652,Same Vehicle
REL001334,CID005708,CID005529,Same Bank Account
REL001335,CID007395,CID001251,Same Bank Account
REL001336,CID000654,CID004461,Same Bank Account
REL001337,CID008963,CID003735,Brother
REL001338,CID008942,CID008547,Business Partner
REL001339,CID008065,CID008390,Money Transfer
REL001340,CID001004,CID005241,Friend
REL001341,CID009683,CID001242,Associate
REL001342,CID008882,CID002939,Business Partner
REL001343,CID000889,CID009519,Associate
REL001344,CID007227,CID005091,Friend
REL001345,CID004437,CID004014,Same Bank Account
REL001346,CID002899,CID006798,Same Vehicle
REL001347,CID005457,CID003346,Friend
REL001348,CID007775,CID000750,Money Transfer
REL001349,CID006408,CID003514,Same Vehicle
REL001350,CID003797,CID009604,Gang Member
REL001351,CID002256,CID003974,Same Vehicle
REL001352,CID001441,CID007373,Business Partner
REL001353,CID008997,CID002207,Same Bank Account
REL001354,CID003223,CID008801,Money Transfer
REL001355,CID008698,CID005448,Gang Member
REL001356,CID004560,CID001299,Gang Member
REL001357,CID001571,CID000801,Associate
REL001358,CID007607,CID009511,Same Phone
REL001359,CID002503,CID003119,Money Transfer
REL001360,CID008900,CID008124,Friend
REL001361,CID002204,CID007460,Friend
REL001362,CID005384,CID007158,Friend
REL001363,CID008184,CID003691,Friend
REL001364,CID001485,CID003394,Associate
REL001365,CID007478,CID009361,Business Partner
REL001366,CID009340,CID003855,Same Vehicle
REL001367,CID006897,CID005223,Business Partner
REL001368,CID001729,CID002599,Friend
REL001369,CID004229,CID000756,Gang Member
REL001370,CID003370,CID005391,Brother
REL001371,CID000645,CID002129,Friend
REL001372,CID006836,CID004967,Associate
REL001373,CID006776,CID000640,Money Transfer
REL001374,CID006148,CID004600,Gang Member
REL001375,CID004149,CID006297,Friend
REL001376,CID009448,CID007259,Gang Member
REL001377,CID006164,CID001417,Same Vehicle
REL001378,CID009755,CID001266,Money Transfer
REL001379,CID008794,CID008040,Money Transfer
REL001380,CID002120,CID002300,Money Transfer
REL001381,CID008973,CID008406,Associate
REL001382,CID004039,CID004204,Same Phone
REL001383,CID006111,CID002781,Same Phone
REL001384,CID003617,CID006350,Same Phone
REL001385,CID009771,CID000867,Same Vehicle
REL001386,CID006186,CID007236,Friend
REL001387,CID007368,CID003980,Brother
REL001388,CID000256,CID009837,Brother
REL001389,CID005450,CID001852,Brother
REL001390,CID009752,CID001195,Gang Member
REL001391,CID000731,CID008516,Associate
REL001392,CID002456,CID007870,Brother
REL001393,CID004372,CID006884,Money Transfer
REL001394,CID005860,CID004276,Same Phone
REL001395,CID009706,CID007281,Friend
REL001396,CID004563,CID004862,Associate
REL001397,CID000586,CID009184,Same Vehicle
REL001398,CID003498,CID002443,Same Phone
REL001399,CID003662,CID006625,Associate
REL001400,CID002353,CID008925,Business Partner
REL001401,CID009507,CID004649,Associate
REL001402,CID001920,CID007088,Associate
REL001403,CID008536,CID001778,Friend
REL001404,CID000995,CID002047,Gang Member
REL001405,CID007054,CID008541,Same Bank Account
REL001406,CID009009,CID001734,Same Vehicle
REL001407,CID006578,CID000999,Same Bank Account
REL001408,CID007508,CID003854,Same Vehicle
REL001409,CID000734,CID000734,Associate
REL001410,CID008573,CID008593,Gang Member
REL001411,CID001701,CID004761,Same Bank Account
REL001412,CID006219,CID008393,Friend
REL001413,CID003367,CID001301,Same Bank Account
REL001414,CID004879,CID008734,Same Phone
REL001415,CID005522,CID002720,Friend
REL001416,CID006380,CID006165,Brother
REL001417,CID006612,CID006180,Same Bank Account
REL001418,CID006229,CID007986,Same Phone
REL001419,CID002218,CID001579,Friend
REL001420,CID008102,CID003285,Business Partner
REL001421,CID002833,CID001577,Same Phone
REL001422,CID004480,CID008390,Friend
REL001423,CID007007,CID007908,Friend
REL001424,CID006664,CID009831,Money Transfer
REL001425,CID007113,CID003759,Business Partner
REL001426,CID007467,CID002256,Friend
REL001427,CID008152,CID003191,Associate
REL001428,CID003741,CID009707,Business Partner
REL001429,CID005285,CID004648,Same Bank Account
REL001430,CID005865,CID002833,Same Phone
REL001431,CID000556,CID005499,Brother
REL001432,CID009726,CID005571,Same Vehicle
REL001433,CID009247,CID000672,Same Vehicle
REL001434,CID004161,CID009368,Business Partner
REL001435,CID008346,CID009464,Money Transfer
REL001436,CID004066,CID009025,Business Partner
REL001437,CID000646,CID006146,Gang Member
REL001438,CID004063,CID000522,Brother
REL001439,CID000366,CID003526,Money Transfer
REL001440,CID004865,CID007596,Business Partner
REL001441,CID002745,CID009004,Same Phone
REL001442,CID004578,CID003208,Brother
REL001443,CID002455,CID000878,Associate
REL001444,CID005070,CID008404,Brother
REL001445,CID008722,CID007105,Business Partner
REL001446,CID008115,CID002780,Same Phone
REL001447,CID009468,CID006627,Same Bank Account
REL001448,CID003595,CID005902,Friend
REL001449,CID000175,CID004375,Gang Member
REL001450,CID004564,CID001724,Brother
REL001451,CID009897,CID000614,Business Partner
REL001452,CID006557,CID003452,Associate
REL001453,CID008285,CID002221,Gang Member
REL001454,CID000987,CID005557,Business Partner
REL001455,CID004802,CID007122,Associate
REL001456,CID000496,CID009066,Same Bank Account
REL001457,CID000685,CID008666,Same Bank Account
REL001458,CID002478,CID000717,Associate
REL001459,CID006333,CID008398,Money Transfer
REL001460,CID001859,CID000422,Brother
REL001461,CID001672,CID008362,Gang Member
REL001462,CID008641,CID001508,Same Phone
REL001463,CID000646,CID008724,Same Vehicle
REL001464,CID008666,CID003034,Same Vehicle
REL001465,CID002669,CID004645,Brother
REL001466,CID006377,CID008402,Same Bank Account
REL001467,CID002701,CID007496,Same Phone
REL001468,CID004003,CID006074,Friend
REL001469,CID009952,CID001954,Same Vehicle
REL001470,CID004541,CID009612,Gang Member
REL001471,CID006830,CID007462,Gang Member
REL001472,CID000506,CID000730,Same Bank Account
REL001473,CID005566,CID008403,Associate
REL001474,CID002609,CID007471,Same Vehicle
REL001475,CID006876,CID002299,Money Transfer
REL001476,CID007074,CID007083,Friend
REL001477,CID002425,CID006665,Same Phone
REL001478,CID004153,CID003515,Associate
REL001479,CID004687,CID007425,Business Partner
REL001480,CID008849,CID002469,Business Partner
REL001481,CID004686,CID008596,Same Phone
REL001482,CID009676,CID002451,Friend
REL001483,CID003617,CID001488,Associate
REL001484,CID000940,CID007814,Same Bank Account
REL001485,CID004502,CID000112,Same Vehicle
REL001486,CID005096,CID000450,Same Bank Account
REL001487,CID004658,CID000649,Same Bank Account
REL001488,CID006640,CID009361,Same Phone
REL001489,CID003945,CID003588,Money Transfer
REL001490,CID006981,CID007764,Same Phone
REL001491,CID008810,CID006642,Same Phone
REL001492,CID005442,CID009028,Same Vehicle
REL001493,CID003899,CID007158,Same Vehicle
REL001494,CID003723,CID000203,Money Transfer
REL001495,CID000726,CID009042,Friend
REL001496,CID000482,CID004308,Money Transfer
REL001497,CID001397,CID006935,Business Partner
REL001498,CID005095,CID007798,Same Phone
REL001499,CID008893,CID006780,Money Transfer
REL001500,CID001820,CID000235,Same Phone
REL001501,CID004927,CID001299,Gang Member
REL001502,CID002807,CID004186,Same Phone
REL001503,CID000872,CID005342,Same Phone
REL001504,CID004410,CID001564,Business Partner
REL001505,CID003063,CID009175,Gang Member
REL001506,CID005964,CID001349,Gang Member
REL001507,CID000412,CID007117,Same Phone
REL001508,CID007050,CID005169,Friend
REL001509,CID001448,CID007347,Business Partner
REL001510,CID003712,CID001384,Same Bank Account
REL001511,CID005571,CID002251,Associate
REL001512,CID000481,CID004430,Money Transfer
REL001513,CID001208,CID001804,Gang Member
REL001514,CID008679,CID005744,Money Transfer
REL001515,CID008387,CID006801,Business Partner
REL001516,CID006335,CID005670,Same Phone
REL001517,CID001812,CID006354,Business Partner
REL001518,CID000051,CID009184,Same Vehicle
REL001519,CID004845,CID006667,Gang Member
REL001520,CID009552,CID000286,Same Vehicle
REL001521,CID002263,CID000016,Friend
REL001522,CID000527,CID000355,Business Partner
REL001523,CID000809,CID006900,Gang Member
REL001524,CID002754,CID002958,Friend
REL001525,CID000133,CID009544,Gang Member
REL001526,CID006153,CID009652,Gang Member
REL001527,CID004159,CID008634,Associate
REL001528,CID004540,CID005199,Gang Member
REL001529,CID007335,CID003571,Same Bank Account
REL001530,CID008939,CID000140,Same Bank Account
REL001531,CID006639,CID009894,Same Bank Account
REL001532,CID008842,CID004773,Business Partner
REL001533,CID005960,CID002124,Associate
REL001534,CID006150,CID007062,Money Transfer
REL001535,CID006830,CID000094,Same Vehicle
REL001536,CID005953,CID003222,Brother
REL001537,CID003689,CID006081,Money Transfer
REL001538,CID000799,CID009396,Friend
REL001539,CID004414,CID001309,Business Partner
REL001540,CID008018,CID001193,Business Partner
REL001541,CID006534,CID004165,Money Transfer
REL001542,CID009210,CID004259,Same Vehicle
REL001543,CID004951,CID007963,Associate
REL001544,CID007090,CID007020,Business Partner
REL001545,CID005530,CID009514,Same Vehicle
REL001546,CID009163,CID009350,Associate
REL001547,CID005230,CID007222,Friend
REL001548,CID009345,CID003817,Brother
REL001549,CID003991,CID009441,Gang Member
REL001550,CID006012,CID004511,Same Bank Account
REL001551,CID006972,CID001815,Associate
REL001552,CID005282,CID006536,Business Partner
REL001553,CID008312,CID004162,Friend
REL001554,CID008780,CID007280,Same Bank Account
REL001555,CID000821,CID001910,Friend
REL001556,CID007894,CID002955,Business Partner
REL001557,CID005213,CID009147,Same Vehicle
REL001558,CID004666,CID003302,Business Partner
REL001559,CID003246,CID009712,Business Partner
REL001560,CID001857,CID007032,Business Partner
REL001561,CID003108,CID007095,Brother
REL001562,CID007326,CID000201,Associate
REL001563,CID001072,CID000051,Friend
REL001564,CID007767,CID003723,Associate
REL001565,CID006428,CID005373,Money Transfer
REL001566,CID002248,CID007151,Gang Member
REL001567,CID002967,CID008222,Same Bank Account
REL001568,CID002828,CID005718,Friend
REL001569,CID005182,CID005032,Brother
REL001570,CID000015,CID007136,Brother
REL001571,CID001412,CID007389,Associate
REL001572,CID006411,CID009398,Same Vehicle
REL001573,CID000733,CID001601,Associate
REL001574,CID005729,CID005459,Money Transfer
REL001575,CID006292,CID005617,Brother
REL001576,CID004543,CID007740,Friend
REL001577,CID003566,CID003723,Same Phone
REL001578,CID005225,CID005200,Money Transfer
REL001579,CID002344,CID001767,Associate
REL001580,CID003127,CID006182,Business Partner
REL001581,CID008507,CID009657,Friend
REL001582,CID001035,CID003862,Friend
REL001583,CID004388,CID009210,Associate
REL001584,CID005113,CID009427,Same Vehicle
REL001585,CID007220,CID002844,Same Phone
REL001586,CID002379,CID003589,Same Phone
REL001587,CID007381,CID002343,Same Phone
REL001588,CID009663,CID003492,Friend
REL001589,CID000480,CID006215,Business Partner
REL001590,CID005456,CID000647,Money Transfer
REL001591,CID007111,CID001274,Same Vehicle
REL001592,CID005226,CID007546,Business Partner
REL001593,CID003558,CID009287,Friend
REL001594,CID002601,CID001650,Brother
REL001595,CID005444,CID006703,Same Bank Account
REL001596,CID003818,CID006204,Associate
REL001597,CID008964,CID002785,Same Bank Account
REL001598,CID001794,CID006151,Business Partner
REL001599,CID005546,CID008459,Friend
REL001600,CID003260,CID000921,Money Transfer
REL001601,CID007029,CID004862,Gang Member
REL001602,CID002013,CID008936,Business Partner
REL001603,CID007913,CID001908,Brother
REL001604,CID009131,CID007509,Business Partner
REL001605,CID007365,CID001730,Same Vehicle
REL001606,CID006192,CID008863,Friend
REL001607,CID007824,CID005810,Business Partner
REL001608,CID001289,CID009856,Friend
REL001609,CID008269,CID007428,Brother
REL001610,CID007649,CID005664,Business Partner
REL001611,CID000349,CID002412,Friend
REL001612,CID001341,CID009659,Same Phone
REL001613,CID003583,CID004656,Brother
REL001614,CID001163,CID000746,Brother
REL001615,CID008628,CID008056,Brother
REL001616,CID000807,CID004430,Business Partner
REL001617,CID002459,CID007176,Friend
REL001618,CID003888,CID002946,Gang Member
REL001619,CID008492,CID000070,Friend
REL001620,CID005413,CID008656,Friend
REL001621,CID002810,CID000747,Brother
REL001622,CID008208,CID002739,Associate
REL001623,CID005062,CID003994,Gang Member
REL001624,CID003368,CID000175,Business Partner
REL001625,CID005993,CID007016,Same Vehicle
REL001626,CID008265,CID004171,Brother
REL001627,CID003061,CID000346,Same Phone
REL001628,CID001275,CID009632,Associate
REL001629,CID007445,CID009862,Same Vehicle
REL001630,CID004852,CID000481,Gang Member
REL001631,CID002533,CID002856,Associate
REL001632,CID006359,CID000911,Brother
REL001633,CID004480,CID005939,Same Bank Account
REL001634,CID006829,CID005549,Same Phone
REL001635,CID000046,CID005280,Same Bank Account
REL001636,CID004805,CID000691,Gang Member
REL001637,CID009826,CID007915,Same Phone
REL001638,CID009859,CID001340,Same Vehicle
REL001639,CID006226,CID003837,Same Phone
REL001640,CID007187,CID001267,Business Partner
REL001641,CID000273,CID008631,Same Phone
REL001642,CID002553,CID006083,Same Bank Account
REL001643,CID005526,CID008728,Friend
REL001644,CID005801,CID009356,Brother
REL001645,CID003808,CID003167,Business Partner
REL001646,CID002570,CID007811,Associate
REL001647,CID002957,CID001606,Same Phone
REL001648,CID000905,CID001475,Friend
REL001649,CID009244,CID001811,Same Phone
REL001650,CID007527,CID007726,Brother
REL001651,CID001460,CID007745,Business Partner
REL001652,CID000394,CID008508,Gang Member
REL001653,CID007729,CID001002,Money Transfer
REL001654,CID007263,CID004717,Money Transfer
REL001655,CID004006,CID005428,Same Vehicle
REL001656,CID000680,CID002738,Business Partner
REL001657,CID003829,CID008519,Same Bank Account
REL001658,CID004601,CID008184,Associate
REL001659,CID001055,CID005503,Business Partner
REL001660,CID002329,CID008858,Same Bank Account
REL001661,CID008179,CID009400,Same Vehicle
REL001662,CID009773,CID000354,Associate
REL001663,CID000079,CID007692,Associate
REL001664,CID000117,CID004333,Friend
REL001665,CID003710,CID005726,Friend
REL001666,CID003544,CID001365,Same Phone
REL001667,CID004208,CID001063,Same Phone
REL001668,CID006839,CID008728,Same Bank Account
REL001669,CID000408,CID008382,Associate
REL001670,CID006528,CID008012,Associate
REL001671,CID004889,CID007841,Business Partner
REL001672,CID004639,CID006984,Brother
REL001673,CID001604,CID005827,Same Bank Account
REL001674,CID007978,CID000067,Brother
REL001675,CID009509,CID003646,Friend
REL001676,CID006420,CID004406,Gang Member
REL001677,CID001982,CID004589,Gang Member
REL001678,CID002018,CID000218,Friend
REL001679,CID001497,CID008470,Same Vehicle
REL001680,CID001341,CID006495,Money Transfer
REL001681,CID008424,CID000321,Money Transfer
REL001682,CID009338,CID001756,Same Phone
REL001683,CID004588,CID007251,Same Bank Account
REL001684,CID006932,CID007927,Same Vehicle
REL001685,CID004659,CID007033,Money Transfer
REL001686,CID009101,CID000157,Gang Member
REL001687,CID008409,CID007974,Same Vehicle
REL001688,CID001931,CID006716,Money Transfer
REL001689,CID003605,CID009089,Business Partner
REL001690,CID003952,CID006446,Business Partner
REL001691,CID001814,CID008413,Brother
REL001692,CID009046,CID005050,Friend
REL001693,CID001690,CID005372,Friend
REL001694,CID009309,CID008209,Brother
REL001695,CID006749,CID009779,Brother
REL001696,CID000710,CID009801,Money Transfer
REL001697,CID007551,CID004118,Associate
REL001698,CID001887,CID007008,Friend
REL001699,CID009709,CID000749,Friend
REL001700,CID001713,CID008318,Associate
REL001701,CID007530,CID004500,Brother
REL001702,CID008022,CID000696,Same Vehicle
REL001703,CID006404,CID002467,Same Vehicle
REL001704,CID001328,CID005058,Same Phone
REL001705,CID008245,CID004422,Same Bank Account
REL001706,CID006674,CID000997,Same Bank Account
REL001707,CID003056,CID001974,Business Partner
REL001708,CID009152,CID005516,Friend
REL001709,CID002527,CID006720,Same Bank Account
REL001710,CID004432,CID002400,Friend
REL001711,CID007989,CID009176,Friend
REL001712,CID006004,CID003370,Same Phone
REL001713,CID002060,CID008695,Gang Member
REL001714,CID008773,CID004109,Brother
REL001715,CID006108,CID001814,Same Vehicle
REL001716,CID006712,CID006973,Money Transfer
REL001717,CID009869,CID008071,Money Transfer
REL001718,CID000639,CID007647,Same Phone
REL001719,CID001724,CID004698,Gang Member
REL001720,CID005138,CID008302,Friend
REL001721,CID003934,CID000592,Same Phone
REL001722,CID003030,CID000051,Associate
REL001723,CID006148,CID003941,Friend
REL001724,CID008055,CID004029,Gang Member
REL001725,CID007212,CID009949,Gang Member
REL001726,CID003602,CID006617,Same Phone
REL001727,CID000696,CID006316,Friend
REL001728,CID009914,CID005203,Same Bank Account
REL001729,CID007061,CID005920,Brother
REL001730,CID002460,CID006997,Gang Member
REL001731,CID005418,CID006292,Gang Member
REL001732,CID001275,CID005727,Same Bank Account
REL001733,CID003536,CID000571,Brother
REL001734,CID008506,CID007434,Same Bank Account
REL001735,CID007881,CID003231,Friend
REL001736,CID008452,CID007815,Brother
REL001737,CID003166,CID002298,Same Phone
REL001738,CID005603,CID007043,Business Partner
REL001739,CID004906,CID009892,Friend
REL001740,CID007842,CID005238,Same Vehicle
REL001741,CID009354,CID001114,Same Bank Account
REL001742,CID005834,CID000652,Gang Member
REL001743,CID001602,CID001792,Same Bank Account
REL001744,CID007716,CID002634,Same Phone
REL001745,CID000387,CID008237,Same Phone
REL001746,CID006532,CID003417,Business Partner
REL001747,CID000148,CID004146,Same Vehicle
REL001748,CID005057,CID009201,Gang Member
REL001749,CID007598,CID005509,Friend
REL001750,CID000142,CID009265,Friend
REL001751,CID003695,CID000646,Associate
REL001752,CID007970,CID001424,Brother
REL001753,CID008624,CID002072,Money Transfer
REL001754,CID006087,CID009414,Business Partner
REL001755,CID001273,CID006444,Same Bank Account
REL001756,CID004528,CID007296,Same Vehicle
REL001757,CID007631,CID003396,Gang Member
REL001758,CID006385,CID005756,Gang Member
REL001759,CID008757,CID002679,Gang Member
REL001760,CID003431,CID002476,Associate
REL001761,CID007200,CID003769,Money Transfer
REL001762,CID009687,CID008402,Same Bank Account
REL001763,CID004681,CID006393,Same Bank Account
REL001764,CID003974,CID003704,Same Vehicle
REL001765,CID009868,CID006995,Money Transfer
REL001766,CID002858,CID001245,Same Phone
REL001767,CID000080,CID009832,Same Bank Account
REL001768,CID006282,CID006554,Same Vehicle
REL001769,CID000068,CID007790,Same Vehicle
REL001770,CID008111,CID007374,Same Bank Account
REL001771,CID008882,CID008202,Same Vehicle
REL001772,CID001494,CID009618,Business Partner
REL001773,CID005741,CID007780,Same Phone
REL001774,CID000562,CID004930,Same Bank Account
REL001775,CID000018,CID004603,Same Bank Account
REL001776,CID009356,CID006465,Brother
REL001777,CID000614,CID005070,Same Bank Account
REL001778,CID009329,CID006859,Same Vehicle
REL001779,CID001553,CID006534,Associate
REL001780,CID009103,CID003878,Same Phone
REL001781,CID005657,CID007431,Money Transfer
REL001782,CID009988,CID007325,Same Bank Account
REL001783,CID007909,CID008317,Friend
REL001784,CID008249,CID001131,Money Transfer
REL001785,CID001452,CID004491,Brother
REL001786,CID008918,CID008219,Same Bank Account
REL001787,CID001308,CID002200,Same Phone
REL001788,CID004759,CID009819,Same Phone
REL001789,CID008712,CID000115,Associate
REL001790,CID002466,CID004913,Gang Member
REL001791,CID005057,CID007008,Brother
REL001792,CID000786,CID009771,Same Vehicle
REL001793,CID003924,CID009629,Business Partner
REL001794,CID009261,CID000773,Same Bank Account
REL001795,CID004435,CID005160,Gang Member
REL001796,CID002458,CID005171,Same Vehicle
REL001797,CID005388,CID002922,Associate
REL001798,CID006002,CID004573,Gang Member
REL001799,CID003595,CID004375,Same Phone
REL001800,CID007634,CID009485,Brother
REL001801,CID006529,CID009079,Same Vehicle
REL001802,CID005865,CID000476,Same Phone
REL001803,CID009726,CID009715,Associate
REL001804,CID004108,CID006215,Gang Member
REL001805,CID009641,CID002020,Same Vehicle
REL001806,CID009780,CID006553,Brother
REL001807,CID001437,CID006437,Friend
REL001808,CID008483,CID005281,Friend
REL001809,CID009958,CID003665,Same Phone
REL001810,CID001489,CID004689,Same Vehicle
REL001811,CID005612,CID003032,Gang Member
REL001812,CID005766,CID003235,Brother
REL001813,CID002983,CID008190,Same Bank Account
REL001814,CID009957,CID001648,Same Phone
REL001815,CID002043,CID001366,Business Partner
REL001816,CID002993,CID001776,Business Partner
REL001817,CID007143,CID004539,Same Phone
REL001818,CID002946,CID007848,Friend
REL001819,CID007523,CID004006,Same Bank Account
REL001820,CID007454,CID002901,Gang Member
REL001821,CID003436,CID009740,Brother
REL001822,CID002900,CID009512,Business Partner
REL001823,CID001486,CID004298,Money Transfer
REL001824,CID002088,CID000107,Friend
REL001825,CID004660,CID002942,Same Phone
REL001826,CID001992,CID006072,Gang Member
REL001827,CID003746,CID002041,Associate
REL001828,CID007324,CID004965,Friend
REL001829,CID005178,CID006500,Gang Member
REL001830,CID002543,CID003720,Brother
REL001831,CID006397,CID009962,Same Vehicle
REL001832,CID001110,CID000097,Business Partner
REL001833,CID008086,CID006147,Same Vehicle
REL001834,CID003426,CID003302,Same Phone
REL001835,CID001529,CID003415,Associate
REL001836,CID006127,CID006187,Gang Member
REL001837,CID002405,CID004863,Same Vehicle
REL001838,CID000083,CID009730,Gang Member
REL001839,CID003608,CID001625,Same Vehicle
REL001840,CID000451,CID005980,Same Bank Account
REL001841,CID006499,CID002827,Friend
REL001842,CID000777,CID008160,Business Partner
REL001843,CID003374,CID004123,Associate
REL001844,CID007047,CID007637,Brother
REL001845,CID006014,CID005622,Same Vehicle
